Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753170980.04617,0.251,0.217,0.946,-0.854,-1.77,0.854,13.08,-14.07,-60.4,False,False
1753170980.136055,0.257,0.219,0.944,-0.244,-0.916,0.793,13.04,-14.06,-60.4,False,False
1753170980.2416286,0.247,0.211,0.947,0.0,-0.61,0.183,13.01,-14.1,-60.39,False,False
1753170980.3312721,0.237,0.214,0.948,-0.122,0.244,-0.122,12.99,-14.1,-60.39,False,False
1753170980.4363363,0.24,0.215,0.948,0.0,0.854,-0.366,12.99,-14.09,-60.4,False,False
1753170980.54238,0.255,0.217,0.945,-0.061,1.465,-0.549,12.99,-14.08,-60.41,False,False
1753170980.631931,0.244,0.214,0.946,0.305,0.122,-0.244,12.99,-14.09,-60.41,False,False
1753170980.7364254,0.234,0.211,0.95,0.427,0.0,-0.183,12.99,-14.08,-60.41,False,False
1753170980.841874,0.249,0.22,0.944,0.061,1.16,-0.549,13.0,-14.04,-60.42,False,False
1753170980.9318938,0.243,0.213,0.948,-0.244,0.61,-0.183,13.0,-14.07,-60.42,False,False
1753170981.036917,0.248,0.221,0.945,0.427,0.671,-0.122,13.0,-14.05,-60.42,False,False
1753170981.1409419,0.24,0.217,0.947,0.0,0.793,-0.122,13.02,-14.05,-60.42,False,False
1753170981.230961,0.236,0.213,0.949,0.061,-0.427,-0.061,13.01,-14.04,-60.42,False,False
1753170981.3369856,0.244,0.215,0.948,0.0,0.732,-0.366,13.0,-14.01,-60.44,False,False
1753170981.4270067,0.252,0.221,0.945,0.0,0.916,-0.244,13.0,-14.02,-60.44,False,False
1753170981.532029,0.245,0.211,0.947,0.305,0.671,-0.305,13.0,-14.02,-60.44,False,False
1753170981.6360536,0.239,0.218,0.947,0.427,0.427,-0.183,13.0,-14.0,-60.44,False,False
1753170981.726453,0.237,0.213,0.948,0.183,0.488,-0.183,13.02,-13.98,-60.45,False,False
1753170981.8314753,0.253,0.216,0.948,0.122,0.366,-0.122,13.01,-13.95,-60.45,False,False
1753170981.9364996,0.234,0.236,0.938,2.38,1.16,0.244,13.09,-13.92,-60.43,False,False
1753170982.02652,0.249,0.218,0.944,0.0,0.854,-0.732,13.5,-13.89,-60.44,False,False
1753170982.1316545,0.243,0.214,0.947,-1.343,-0.549,0.122,13.3,-13.96,-60.45,False,False
1753170982.2366786,0.244,0.214,0.948,-2.075,-0.61,0.305,13.16,-13.99,-60.45,False,False
1753170982.326699,0.248,0.219,0.947,0.0,0.122,0.0,13.1,-14.02,-60.46,False,False
1753170982.4317214,0.247,0.216,0.947,-0.183,0.183,-0.061,13.09,-14.04,-60.45,False,False
1753170982.5367465,0.244,0.215,0.946,-0.366,-0.366,0.061,13.07,-14.06,-60.46,False,False
