Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171857.1679358,0.253,0.089,0.972,6.104,14.221,-14.893,5.66,-14.67,-32.88,False,False
1753171857.2739596,0.254,0.088,0.971,3.967,5.31,3.479,5.95,-13.65,-33.22,False,False
1753171857.377984,0.199,0.123,0.984,2.075,2.319,0.61,6.05,-13.61,-33.13,False,False
1753171857.4690034,0.258,0.099,0.995,-0.793,-3.723,-1.038,6.16,-13.66,-33.17,False,False
1753171857.574027,0.14,-0.106,0.958,-15.808,-5.249,-7.874,5.41,-14.19,-33.41,False,False
1753171857.6790512,0.225,0.055,0.901,-37.598,38.025,-8.911,1.77,-13.39,-35.28,False,False
1753171857.768858,0.14,0.007,1.056,17.09,20.752,-7.446,2.9,-12.49,-36.31,False,False
1753171857.8738823,0.244,0.046,0.925,10.01,19.714,-12.512,3.41,-11.91,-37.46,False,False
1753171857.9789057,0.229,0.067,1.0,0.244,-2.441,-3.845,3.8,-12.45,-37.79,False,False
1753171858.0689878,0.155,0.104,0.997,24.475,5.615,-5.371,4.95,-12.28,-38.17,False,False
1753171858.1740112,0.197,0.113,1.01,10.498,8.85,-0.366,6.42,-11.33,-38.3,False,False
1753171858.2630348,0.148,0.109,0.965,-0.427,3.113,1.587,6.62,-10.96,-38.32,False,False
1753171858.368059,0.19,0.13,0.992,2.747,6.531,-1.77,7.03,-10.04,-38.1,False,False
1753171858.4742596,0.179,0.115,0.98,-5.554,-9.399,-1.282,7.05,-10.35,-38.15,False,False
1753171858.563279,0.199,0.108,0.978,-1.892,-2.258,0.061,6.81,-10.53,-38.19,False,False
1753171858.6683037,0.185,0.115,0.978,-0.488,0.977,-1.404,6.64,-10.71,-38.33,False,False
1753171858.7733262,0.196,0.102,0.976,-1.16,-1.221,0.488,6.54,-10.61,-38.41,False,False
1753171858.863347,0.179,0.11,0.979,2.258,-0.183,-0.366,6.47,-10.69,-38.41,False,False
1753171858.9693706,0.2,0.099,0.974,-0.366,-0.305,0.549,6.53,-10.65,-38.46,False,False
1753171859.0733984,0.178,0.103,0.979,-0.305,-0.366,0.305,6.41,-10.64,-38.42,False,False
1753171859.1634195,0.199,0.112,0.977,0.0,0.183,0.122,6.44,-10.61,-38.45,False,False
1753171859.2684429,0.179,0.104,0.978,-0.977,0.305,0.061,6.4,-10.63,-38.42,False,False
1753171859.3584685,0.193,0.11,0.977,1.892,0.244,-0.732,6.43,-10.62,-38.46,False,False
1753171859.4634922,0.187,0.103,0.977,-0.977,0.305,0.549,6.46,-10.62,-38.46,False,False
1753171859.5685158,0.18,0.107,0.979,1.648,0.793,-0.977,6.4,-10.59,-38.45,False,False
1753171859.6585364,0.19,0.107,0.973,-0.366,1.038,0.549,6.51,-10.56,-38.49,False,False
1753171859.7635608,0.174,0.107,0.979,0.549,-0.549,-0.244,6.49,-10.47,-38.44,False,False
1753171859.868588,0.186,0.105,0.976,0.183,0.244,-0.183,6.55,-10.48,-38.49,False,False
1753171859.95909,0.186,0.11,0.978,-1.282,-1.404,0.488,6.48,-10.53,-38.5,False,False
1753171860.063114,0.178,0.1,0.98,1.404,0.0,-1.343,6.48,-10.61,-38.55,False,False
1753171860.1689465,0.205,0.108,0.975,-1.16,0.183,0.0,6.43,-10.62,-38.57,False,False
1753171860.2589674,0.17,0.104,0.979,1.038,0.183,-0.366,6.42,-10.66,-38.56,False,False
1753171860.3639932,0.194,0.112,0.974,0.0,0.793,0.244,6.56,-10.52,-38.57,False,False
1753171860.4540136,0.182,0.106,0.981,-0.488,0.61,0.366,6.52,-10.56,-38.55,False,False
