Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753173422.243947,0.139,0.111,0.981,2.197,0.549,-0.793,7.29,-7.23,-59.04,False,False
1753173422.348971,0.111,0.138,0.987,0.549,-2.441,0.488,7.25,-7.23,-59.07,False,False
1753173422.4389908,0.146,0.113,0.982,-0.366,1.343,-1.099,7.39,-7.3,-59.19,False,False
1753173422.544018,0.125,0.111,0.983,-0.732,-0.732,0.244,7.24,-7.36,-59.07,False,False
1753173422.6490424,0.107,0.112,0.983,-0.183,-2.38,-0.061,7.21,-7.37,-59.08,False,False
1753173422.7390616,0.138,0.117,0.984,-1.221,1.587,-0.305,7.17,-7.29,-59.09,False,False
1753173422.844114,0.131,0.123,0.985,0.427,2.136,-0.977,7.17,-7.34,-59.09,False,False
1753173422.949141,0.114,0.106,0.985,-1.465,-0.488,1.465,7.15,-7.24,-59.08,False,False
1753173423.0391636,0.115,0.116,0.985,0.916,-1.465,-0.549,7.06,-7.17,-59.07,False,False
1753173423.1441875,0.129,0.113,0.983,-0.061,0.122,-0.732,7.1,-7.2,-59.13,False,False
1753173423.2342136,0.117,0.122,0.981,2.38,-1.587,-2.319,7.17,-7.32,-59.25,False,False
1753173423.3392375,0.145,0.106,0.981,0.244,-1.16,-0.732,7.29,-7.33,-59.42,False,False
1753173423.4442613,0.112,0.109,0.984,-0.61,-1.465,-0.061,7.24,-7.47,-59.33,False,False
1753173423.5347867,0.124,0.126,0.984,-2.075,-2.502,0.061,7.23,-7.44,-59.4,False,False
1753173423.6398106,0.147,0.116,0.981,-1.221,1.343,0.0,7.21,-7.6,-59.35,False,False
1753173423.744834,0.122,0.121,0.986,2.197,-2.075,-0.793,7.23,-7.81,-59.33,False,False
1753173423.8428574,0.147,0.112,0.98,-0.793,0.0,0.061,7.33,-7.77,-59.46,False,False
1753173423.9398794,0.134,0.132,0.987,0.183,-1.16,-0.977,7.24,-7.81,-59.4,False,False
1753173424.0449023,0.14,0.126,0.982,-0.549,3.662,-1.648,7.32,-7.79,-59.55,False,False
1753173424.1349254,0.123,0.135,0.985,0.793,-1.77,-0.549,7.31,-7.73,-59.57,False,False
1753173424.2399487,0.125,0.107,0.984,0.0,-0.488,-3.723,7.34,-7.72,-59.78,False,False
1753173424.3289692,0.145,0.121,0.979,1.16,-1.465,1.343,7.16,-7.68,-60.09,False,False
1753173424.4339926,0.158,0.098,0.978,-3.723,1.16,0.671,7.05,-7.84,-60.06,False,False
1753173424.5390165,0.144,0.138,0.973,1.526,-3.235,1.953,6.81,-7.85,-59.98,False,False
