Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172746.2005298,0.109,0.166,0.98,0.488,1.099,0.183,10.11,-6.43,-72.04,False,False
1753172746.3055537,0.121,0.176,0.979,-1.16,0.671,-0.366,10.01,-6.39,-72.03,False,False
1753172746.4105778,0.11,0.166,0.978,2.014,-1.77,-0.549,10.0,-6.47,-72.1,False,False
1753172746.5005977,0.12,0.161,0.979,-0.305,0.061,0.0,10.01,-6.47,-72.12,False,False
1753172746.6056218,0.121,0.175,0.977,0.0,0.244,-0.305,10.0,-6.46,-72.13,False,False
1753172746.710947,0.099,0.15,0.98,0.183,-0.977,0.244,10.05,-6.5,-72.16,False,False
1753172746.8009675,0.111,0.185,0.978,-0.122,-1.404,0.549,10.0,-6.44,-72.15,False,False
1753172746.9055262,0.11,0.164,0.981,0.549,1.221,0.0,10.07,-6.48,-72.17,False,False
1753172747.0105503,0.118,0.166,0.979,-0.61,1.465,0.0,10.03,-6.42,-72.12,False,False
1753172747.1005707,0.135,0.18,0.977,1.465,-1.038,0.0,10.05,-6.42,-72.11,False,False
1753172747.2055948,0.119,0.154,0.979,-0.122,-0.549,0.549,10.1,-6.47,-72.12,False,False
1753172747.2956147,0.107,0.167,0.979,-0.305,-0.671,0.549,10.02,-6.42,-72.08,False,False
1753172747.4006417,0.104,0.16,0.98,0.549,-1.831,0.61,10.03,-6.39,-72.1,False,False
1753172747.505665,0.103,0.173,0.977,0.0,-0.61,0.366,10.01,-6.37,-72.1,False,False
1753172747.5956855,0.119,0.169,0.977,0.916,-1.038,-0.122,10.09,-6.39,-72.14,False,False
1753172747.700709,0.103,0.164,0.981,-0.549,0.793,0.366,10.07,-6.41,-72.13,False,False
1753172747.8057332,0.119,0.173,0.975,0.0,0.0,-0.488,10.05,-6.37,-72.11,False,False
1753172747.8957531,0.114,0.165,0.978,-1.038,1.465,0.244,10.08,-6.42,-72.11,False,False
1753172748.0007772,0.095,0.166,0.978,0.183,-0.61,0.061,10.04,-6.38,-72.1,False,False
1753172748.1061428,0.096,0.157,0.98,-0.122,-0.122,-0.122,10.04,-6.37,-72.11,False,False
1753172748.1961632,0.114,0.174,0.978,0.366,-0.427,0.305,10.03,-6.38,-72.11,False,False
1753172748.3003206,0.107,0.171,0.979,1.038,-1.282,0.061,10.05,-6.41,-72.13,False,False
1753172748.390341,0.118,0.164,0.982,-0.122,0.671,0.0,10.06,-6.4,-72.14,False,False
1753172748.4958596,0.129,0.166,0.979,0.916,-0.977,0.061,10.01,-6.39,-72.13,False,False
1753172748.6008832,0.121,0.166,0.98,-0.488,0.732,0.183,10.06,-6.44,-72.14,False,False
1753172748.6909108,0.121,0.172,0.979,0.0,-0.427,0.244,10.04,-6.4,-72.15,False,False
1753172748.7959347,0.113,0.168,0.978,0.549,0.122,-0.244,10.06,-6.41,-72.16,False,False
1753172748.9009602,0.112,0.167,0.98,-0.305,0.366,0.305,10.07,-6.41,-72.17,False,False
1753172748.9909801,0.116,0.17,0.977,0.244,0.0,-0.427,10.04,-6.4,-72.16,False,False
1753172749.0960042,0.118,0.16,0.979,-0.061,0.0,0.061,10.04,-6.41,-72.15,False,False
1753172749.2010279,0.122,0.178,0.979,-0.183,0.244,0.0,10.01,-6.41,-72.15,False,False
1753172749.2910483,0.126,0.174,0.979,1.16,0.244,-0.122,10.05,-6.42,-72.17,False,False
1753172749.3960795,0.129,0.173,0.978,-0.793,2.197,-0.244,10.03,-6.4,-72.16,False,False
1753172749.486102,0.123,0.17,0.976,0.732,0.488,-0.549,10.04,-6.43,-72.18,False,False
1753172749.591126,0.108,0.152,0.978,-0.427,0.0,-0.061,10.03,-6.43,-72.18,False,False
1753172749.69615,0.111,0.182,0.975,0.244,-0.793,0.305,10.0,-6.38,-72.17,False,False
1753172749.7861698,0.084,0.157,0.98,-0.427,0.732,-0.427,10.05,-6.39,-72.2,False,False
1753172749.891194,0.1,0.192,0.976,-1.038,1.648,-0.427,9.99,-6.32,-72.18,False,False
1753172749.995272,0.106,0.167,0.978,0.671,0.793,-1.221,10.06,-6.39,-72.22,False,False
1753172750.0852923,0.119,0.159,0.977,-0.549,2.38,-0.488,10.03,-6.36,-72.21,False,False
1753172750.1903164,0.119,0.176,0.978,0.916,-0.488,-0.488,10.0,-6.37,-72.2,False,False
1753172750.2953434,0.111,0.155,0.98,0.0,0.549,0.061,10.06,-6.39,-72.21,False,False
1753172750.385364,0.114,0.179,0.978,-1.282,1.038,-0.122,9.98,-6.37,-72.2,False,False
