Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172943.3484304,0.182,0.112,0.979,0.366,-2.625,0.244,5.93,-9.65,-65.58,False,False
1753172943.4534543,0.177,0.07,0.978,0.0,-1.892,0.549,5.95,-10.0,-65.57,False,False
1753172943.5434747,0.198,0.095,0.978,0.0,-2.441,0.488,5.91,-10.05,-65.52,False,False
1753172943.648502,0.203,0.103,0.977,-5.371,1.953,0.793,5.98,-10.04,-65.57,False,False
1753172943.753526,0.19,0.096,0.974,0.488,-2.93,-0.916,5.97,-10.09,-65.58,False,False
1753172943.84287,0.182,0.093,0.979,-2.197,-3.174,3.235,5.97,-10.25,-65.53,False,False
1753172943.947894,0.187,0.096,0.976,1.038,-1.587,-0.183,5.98,-10.42,-65.46,False,False
1753172944.0529175,0.173,0.057,0.966,-0.244,-1.282,0.366,5.99,-10.48,-65.45,False,False
1753172944.1429384,0.132,0.088,0.955,2.014,-4.272,-2.258,5.99,-10.55,-65.48,False,False
1753172944.247963,0.138,0.066,0.979,-4.578,-6.592,4.578,6.38,-10.28,-65.66,False,False
1753172944.3379831,0.153,0.106,0.987,-1.709,4.883,1.343,6.11,-10.14,-65.42,False,False
1753172944.4430065,0.159,0.1,0.986,1.16,-0.732,0.61,6.23,-10.06,-65.4,False,False
1753172944.5480306,0.183,0.11,0.979,-0.549,2.197,-0.427,6.23,-9.99,-65.36,False,False
1753172944.6380527,0.174,0.107,0.979,-0.916,0.488,-1.099,6.26,-9.98,-65.39,False,False
1753172944.7430766,0.182,0.102,0.979,-1.099,-1.404,0.671,6.26,-9.92,-65.45,False,False
1753172944.8481002,0.181,0.108,0.979,0.0,-0.061,-0.366,6.21,-10.03,-65.43,False,False
1753172944.9381206,0.182,0.102,0.978,0.61,0.977,-1.16,6.26,-10.04,-65.49,False,False
1753172945.0431445,0.172,0.108,0.982,-0.427,-1.343,0.305,6.25,-10.05,-65.53,False,False
1753172945.148168,0.188,0.098,0.977,0.427,-0.183,-0.122,6.31,-10.09,-65.56,False,False
1753172945.2381887,0.18,0.107,0.979,-0.854,0.061,0.122,6.23,-10.12,-65.53,False,False
1753172945.3432124,0.176,0.104,0.981,-0.122,-0.488,0.183,6.27,-10.16,-65.56,False,False
1753172945.4487772,0.175,0.11,0.981,-0.549,-0.183,0.061,6.23,-10.16,-65.55,False,False
1753172945.5377972,0.172,0.105,0.98,1.343,-0.366,-0.61,6.3,-10.2,-65.59,False,False
1753172945.6428208,0.18,0.101,0.979,0.244,0.305,-0.183,6.3,-10.2,-65.59,False,False
1753172945.7338414,0.179,0.103,0.98,1.099,0.305,-0.427,6.28,-10.22,-65.58,False,False
1753172945.8378665,0.173,0.096,0.979,0.183,0.0,0.0,6.29,-10.23,-65.59,False,False
1753172945.9428904,0.176,0.104,0.981,-0.305,0.366,0.0,6.23,-10.19,-65.58,False,False
1753172946.033911,0.18,0.105,0.979,0.549,-0.061,-0.549,6.32,-10.2,-65.62,False,False
1753172946.1389353,0.16,0.106,0.981,-2.136,-0.305,1.099,6.3,-10.18,-65.62,False,False
1753172946.242969,0.168,0.113,0.982,0.977,0.061,-1.282,6.32,-10.16,-65.65,False,False
1753172946.3339796,0.173,0.101,0.98,-0.488,0.366,0.0,6.37,-10.19,-65.69,False,False
1753172946.4380026,0.188,0.109,0.977,1.282,0.732,-0.977,6.32,-10.17,-65.67,False,False
1753172946.5430286,0.186,0.096,0.975,0.549,0.427,-0.366,6.36,-10.18,-65.71,False,False
1753172946.633049,0.184,0.103,0.977,0.244,-0.427,-0.122,6.31,-10.21,-65.71,False,False
1753172946.738073,0.183,0.103,0.977,-0.061,-0.732,0.061,6.36,-10.23,-65.74,False,False
1753172946.8280933,0.172,0.108,0.979,-0.549,-0.183,0.183,6.34,-10.22,-65.75,False,False
1753172946.9331172,0.169,0.104,0.981,0.854,0.427,-0.427,6.38,-10.21,-65.77,False,False
1753172947.0381417,0.18,0.1,0.979,0.061,0.0,0.244,6.36,-10.2,-65.76,False,False
1753172947.1281614,0.187,0.11,0.979,0.305,1.526,-0.183,6.32,-10.2,-65.73,False,False
1753172947.2331848,0.176,0.099,0.978,0.977,-0.427,-0.244,6.38,-10.22,-65.77,False,False
1753172947.3382087,0.167,0.101,0.98,-0.244,-1.16,0.793,6.34,-10.21,-65.76,False,False
1753172947.428229,0.174,0.104,0.979,0.305,-0.793,0.122,6.34,-10.23,-65.75,False,False
1753172947.5332637,0.172,0.104,0.979,-0.549,0.0,0.427,6.31,-10.29,-65.74,False,False
1753172947.638279,0.17,0.076,0.979,2.136,-0.305,-0.854,6.33,-10.32,-65.76,False,False
1753172947.7282996,0.199,0.083,0.972,0.061,-0.732,-0.122,6.32,-10.33,-65.75,False,False
1753172947.8333232,0.191,0.099,0.976,0.305,0.0,0.0,6.27,-10.42,-65.73,False,False
1753172947.9233437,0.193,0.104,0.977,0.732,0.0,0.488,6.3,-10.43,-65.74,False,False
1753172948.0283673,0.177,0.109,0.981,0.549,-0.793,0.61,6.29,-10.45,-65.73,False,False
1753172948.1333914,0.18,0.106,0.98,-0.061,0.0,0.244,6.32,-10.45,-65.74,False,False
1753172948.2234116,0.18,0.105,0.98,-0.122,0.0,-0.061,6.28,-10.45,-65.73,False,False
1753172948.3284352,0.188,0.105,0.979,0.061,0.61,-0.183,6.31,-10.47,-65.75,False,False
1753172948.4334629,0.202,0.102,0.974,0.366,-0.671,0.061,6.3,-10.49,-65.76,False,False
1753172948.5234833,0.191,0.102,0.976,0.244,-0.305,0.0,6.27,-10.52,-65.74,False,False
1753172948.6285071,0.187,0.103,0.976,-0.427,-0.671,0.427,6.27,-10.51,-65.75,False,False
1753172948.733531,0.161,0.098,0.982,0.244,-2.014,0.366,6.26,-10.52,-65.76,False,False
1753172948.8235514,0.171,0.104,0.982,-0.244,0.916,-0.122,6.27,-10.48,-65.78,False,False
1753172948.9285755,0.182,0.109,0.979,-0.977,0.916,0.061,6.24,-10.49,-65.76,False,False
1753172949.0185952,0.172,0.098,0.98,0.793,0.793,-0.671,6.27,-10.54,-65.79,False,False
1753172949.1236198,0.179,0.101,0.978,0.793,-0.305,-0.549,6.27,-10.5,-65.81,False,False
1753172949.2286465,0.182,0.105,0.979,0.427,1.221,-0.488,6.26,-10.52,-65.8,False,False
1753172949.3186662,0.197,0.103,0.978,-0.549,1.709,0.0,6.27,-10.53,-65.8,False,False
1753172949.42369,0.17,0.105,0.982,-0.122,-0.366,0.61,6.21,-10.49,-65.76,False,False
1753172949.5287137,0.173,0.107,0.979,-0.122,0.183,0.244,6.26,-10.42,-65.78,False,False
1753172949.6187341,0.178,0.1,0.98,0.0,-0.366,0.183,6.25,-10.43,-65.77,False,False
1753172949.7231443,0.182,0.096,0.98,0.488,0.061,-0.244,6.23,-10.45,-65.76,False,False
1753172949.8281686,0.185,0.097,0.977,-0.549,-1.465,0.305,6.19,-10.51,-65.74,False,False
1753172949.9181886,0.183,0.097,0.978,0.122,-0.122,-0.366,6.17,-10.59,-65.74,False,False
