Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171022.2578301,0.301,0.195,0.951,0.061,-0.305,0.366,12.21,-16.45,76.81,False,False
1753171022.3648558,0.306,0.229,0.949,2.441,0.427,-0.732,12.25,-16.47,76.82,False,False
1753171022.4548762,0.212,0.223,1.129,6.226,1.038,-0.061,12.98,-16.84,76.83,False,False
1753171022.557899,0.514,0.25,0.808,2.136,-31.006,-4.944,13.39,-17.99,76.55,False,False
1753171022.6629221,0.514,0.285,0.699,25.146,-70.984,-43.274,16.95,-23.54,71.65,False,False
1753171022.7519417,0.65,0.293,0.696,-5.798,-128.662,-58.35,21.78,-31.8,61.4,False,False
1753171022.8579671,0.631,0.354,0.716,-16.602,-104.492,-46.936,28.17,-41.42,41.68,False,False
1753171022.9475234,0.733,0.322,0.604,-12.329,-63.416,-36.621,34.01,-45.18,24.48,False,False
1753171023.052547,0.655,0.499,0.53,21.973,0.0,-8.423,40.42,-47.02,10.37,False,False
1753171023.1575716,0.572,0.446,0.573,9.705,-6.592,-7.08,40.27,-43.54,6.28,False,False
1753171023.247591,0.781,0.439,0.541,7.996,43.457,2.869,39.54,-40.93,1.07,False,False
1753171023.3526156,0.63,0.457,0.65,-7.385,-6.409,6.836,38.89,-41.74,-4.0,False,False
1753171023.4576385,0.744,0.478,0.509,8.789,-27.588,-4.333,39.11,-42.24,-11.05,False,False
1753171023.5476592,0.775,0.466,0.561,21.912,33.569,-4.15,40.83,-42.0,-17.43,False,False
1753171023.6516826,0.722,0.457,0.579,-2.197,-6.775,2.869,40.3,-41.17,-21.93,False,False
1753171023.7577085,0.635,0.476,0.633,0.366,37.72,-15.015,40.34,-40.11,-27.97,False,False
1753171023.847727,0.901,0.547,0.589,4.7,43.64,-6.897,39.27,-36.46,-31.9,False,False
1753171023.9527507,0.534,0.547,0.425,24.109,-113.159,-2.502,41.39,-37.03,-38.24,False,False
1753171024.042772,0.673,0.532,0.608,8.118,32.776,-39.368,44.44,-34.8,-45.91,False,False
1753171024.147795,0.446,0.566,0.68,-32.837,-18.738,-42.053,43.85,-33.15,-55.2,False,False
1753171024.251819,0.396,0.572,0.676,-17.151,10.132,-43.274,43.34,-30.62,-64.89,False,False
1753171024.3418396,0.418,0.682,0.52,20.813,-1.892,13.977,44.07,-28.76,-71.6,False,False
1753171024.4471955,0.617,0.622,0.588,6.409,3.235,-6.897,46.5,-28.66,-76.44,False,False
1753171024.5522192,0.475,0.649,0.524,12.085,1.831,-4.761,47.36,-29.59,-81.62,False,False
1753171024.64224,0.538,0.638,0.608,9.583,21.118,-3.723,47.37,-27.02,-83.39,False,False
1753171024.7482636,0.424,0.643,0.62,-4.272,12.146,11.536,46.89,-26.81,-86.48,False,False
1753171024.8532875,0.422,0.662,0.621,-10.498,-1.404,-10.925,45.76,-26.14,-90.44,False,False
1753171024.9420238,0.44,0.609,0.616,-8.606,-10.681,2.808,45.38,-26.99,-95.07,False,False
1753171025.0480502,0.617,0.629,0.58,-10.803,-18.677,10.559,44.71,-28.51,-99.05,False,False
1753171025.1370687,0.405,0.582,0.633,-19.592,7.08,-18.066,44.13,-29.79,-103.69,False,False
1753171025.243094,0.018,0.416,0.737,-44.861,38.818,-23.56,40.47,-25.87,-106.29,False,False
1753171025.3481188,0.092,0.46,0.701,-22.461,149.109,-6.531,34.66,-16.44,-104.28,False,False
1753171025.4381375,0.327,0.272,0.793,-30.029,-53.101,80.078,32.09,-15.1,-101.0,False,False
1753171025.5421612,0.631,0.198,1.076,-26.001,39.429,121.033,26.68,-19.72,-94.65,False,False
1753171025.6471872,0.415,0.317,1.02,-7.08,102.112,101.746,19.48,-17.46,-82.84,False,False
1753171025.7372067,0.268,0.258,0.966,12.024,18.433,60.12,18.47,-13.2,-75.81,False,False
