Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171248.519563,0.286,0.188,0.936,0.122,-0.488,0.244,11.8,-16.86,-20.93,False,True
1753171248.6100328,0.248,0.224,0.935,0.793,-2.075,-0.366,11.82,-16.91,-20.94,False,True
1753171248.7150576,0.268,0.142,0.956,0.366,4.7,-1.831,11.96,-16.62,-21.12,True,True
1753171248.8204992,0.288,0.21,0.934,-1.343,2.197,-1.038,11.59,-16.52,-20.96,True,True
1753171248.910519,0.293,0.21,0.934,3.784,-6.348,1.221,11.76,-16.86,-21.08,True,True
1753171249.0145428,0.265,0.169,0.95,-1.16,3.113,-0.183,11.83,-17.09,-21.09,True,False
1753171249.1055644,0.305,0.203,0.933,-0.977,1.038,-0.61,11.68,-16.88,-21.06,True,False
1753171249.2105865,0.301,0.193,0.937,0.427,-1.221,-0.305,11.69,-17.09,-21.12,True,False
1753171249.314611,0.287,0.17,0.945,-1.038,2.686,0.244,11.65,-17.08,-21.08,True,True
1753171249.4049451,0.303,0.198,0.935,-0.061,0.0,-0.427,11.53,-16.95,-21.05,True,True
1753171249.509969,0.29,0.192,0.938,1.465,-0.916,-0.854,11.61,-17.14,-21.14,True,True
1753171249.6150851,0.28,0.182,0.942,-0.793,2.625,0.366,11.61,-17.14,-21.12,True,True
1753171249.7051048,0.294,0.184,0.94,0.366,1.831,-0.61,11.52,-16.97,-21.04,True,True
1753171249.8097315,0.291,0.187,0.94,0.0,-0.244,0.244,11.5,-16.9,-21.01,True,True
1753171249.9153073,0.298,0.193,0.938,1.831,-1.282,-0.122,11.57,-17.02,-21.03,True,True
1753171250.005328,0.295,0.187,0.938,1.038,-1.099,0.549,11.69,-17.16,-21.0,True,True
1753171250.1099613,0.304,0.187,0.939,-0.916,1.404,0.977,11.68,-17.12,-20.93,True,True
1753171250.2149854,0.291,0.189,0.939,-0.549,0.488,-0.061,11.57,-17.05,-20.86,True,True
1753171250.305005,0.299,0.19,0.939,0.61,0.732,-0.305,11.57,-16.99,-20.86,True,False
1753171250.41025,0.298,0.187,0.939,0.244,-0.183,-0.183,11.6,-17.02,-20.89,True,False
1753171250.5002708,0.302,0.186,0.938,-0.305,-0.366,0.244,11.57,-17.03,-20.87,True,False
1753171250.6052969,0.296,0.187,0.939,0.0,-0.671,0.061,11.55,-17.05,-20.89,True,False
1753171250.7103226,0.296,0.188,0.938,0.0,0.122,0.0,11.55,-17.05,-20.91,True,False
1753171250.799819,0.293,0.19,0.938,0.305,-0.427,-0.183,11.56,-17.06,-20.93,True,False
1753171250.9048429,0.298,0.185,0.938,0.183,-0.244,-0.183,11.57,-17.08,-20.97,True,False
1753171251.0098667,0.292,0.185,0.94,0.0,-0.427,0.061,11.56,-17.09,-20.97,True,False
1753171251.099887,0.289,0.19,0.938,0.0,-0.366,0.122,11.56,-17.06,-20.98,True,False
1753171251.2052498,0.286,0.186,0.94,0.061,0.0,0.0,11.57,-17.06,-20.99,True,False
1753171251.3102744,0.292,0.188,0.938,0.0,0.61,0.0,11.56,-17.04,-20.98,True,False
1753171251.402429,0.291,0.187,0.941,0.305,-0.061,-0.122,11.56,-17.05,-20.98,True,False
1753171251.50542,0.293,0.187,0.938,0.061,-0.244,0.0,11.56,-17.03,-20.98,True,False
1753171251.5954404,0.293,0.188,0.939,0.0,-0.366,0.0,11.55,-17.05,-20.98,True,False
1753171251.7004647,0.31,0.193,0.938,0.0,0.793,0.0,11.56,-17.06,-20.98,True,False
1753171251.8044884,0.256,0.176,0.945,0.244,3.54,-0.549,11.55,-16.97,-20.96,True,False
1753171251.8945084,0.293,0.202,0.941,1.038,3.723,-1.221,11.64,-16.44,-20.98,True,False
1753171251.9995317,0.294,0.146,0.953,-1.16,1.221,0.0,11.74,-16.29,-20.96,True,False
1753171252.105557,0.345,0.215,0.937,-0.122,-5.066,-1.709,11.49,-16.59,-20.82,True,True
1753171252.1945765,0.293,0.229,0.938,4.944,-3.662,-0.977,11.91,-17.36,-21.02,True,True
1753171252.2996004,0.287,0.149,0.955,-1.831,6.47,-4.822,12.55,-16.83,-21.24,True,True
1753171252.404624,0.288,0.209,0.937,-7.996,0.122,1.343,12.01,-16.67,-21.42,True,True
1753171252.4956815,0.29,0.212,0.932,-1.221,-0.671,0.366,12.01,-16.63,-21.52,True,True
1753171252.5997045,0.264,0.193,0.944,-2.319,2.808,-1.282,12.16,-16.36,-21.53,True,True
1753171252.6896124,0.281,0.176,0.948,-0.854,1.953,-0.854,11.96,-16.1,-21.56,False,True
1753171252.7946362,0.27,0.199,0.937,0.916,-4.944,2.075,11.77,-16.16,-21.53,False,True
1753171252.8996599,0.243,0.226,0.911,-1.648,0.854,0.427,11.82,-16.42,-21.55,False,True
1753171252.9896803,0.279,0.209,0.939,4.517,5.066,-4.089,12.04,-16.07,-21.57,False,True
1753171253.094705,0.249,0.21,0.942,-0.244,1.648,-0.549,11.97,-15.73,-21.59,False,True
1753171253.2018325,0.232,0.233,0.938,10.315,1.831,-12.207,12.59,-15.38,-22.41,False,True
1753171253.2898538,0.329,0.237,0.947,2.808,2.563,-2.441,13.51,-14.78,-23.25,False,True
1753171253.3954556,0.317,0.142,0.966,-12.146,-0.549,-14.648,13.3,-14.83,-23.7,False,True
