Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172280.0244315,0.442,0.142,0.83,-1.648,-3.418,14.954,5.59,-23.58,-76.5,True,False
1753172280.1144507,0.317,0.123,0.879,-5.554,-7.751,-12.085,5.39,-23.52,-75.51,True,False
1753172280.2194743,0.306,0.046,0.969,-33.386,-7.08,-12.695,3.99,-24.19,-78.98,True,False
1753172280.3244982,0.425,0.005,1.039,-18.127,-7.996,2.869,1.73,-24.67,-80.06,True,False
1753172280.4145186,0.357,-0.014,0.996,-13.123,-1.831,3.418,0.1,-24.64,-77.81,True,False
1753172280.520021,0.335,0.021,0.992,7.019,-0.244,-7.629,-0.35,-24.13,-76.01,True,False
1753172280.624045,0.275,0.162,0.926,23.865,11.597,-2.686,1.05,-23.67,-74.55,True,False
1753172280.7140646,0.227,0.192,0.819,32.104,0.671,2.686,4.1,-23.23,-72.99,True,False
1753172280.8200886,0.415,0.107,0.835,51.208,21.545,30.945,7.23,-21.26,-69.7,True,False
1753172280.924202,0.542,-0.032,0.947,21.179,41.626,40.527,9.67,-18.83,-63.61,True,False
1753172281.0144994,0.292,0.041,0.911,18.066,29.602,24.292,10.17,-15.05,-56.09,True,False
1753172281.1195235,0.514,0.375,1.341,19.165,2.563,1.099,12.09,-15.08,-51.53,True,False
1753172281.2095442,0.349,0.238,0.933,-31.311,-9.033,-1.221,12.96,-16.27,-48.15,True,False
1753172281.3144047,0.213,0.171,0.977,-19.104,-6.409,-10.193,12.02,-16.88,-45.94,True,False
1753172281.4194102,0.258,0.154,0.956,-8.057,14.16,-0.549,10.86,-15.3,-43.97,True,False
1753172281.5094314,0.226,0.167,0.96,-1.526,5.554,0.061,10.18,-14.51,-40.92,True,False
1753172281.6154547,0.225,0.161,0.964,-1.282,1.77,0.549,10.06,-14.07,-38.31,True,False
1753172281.7194777,0.25,0.167,0.96,-0.244,2.686,-0.732,9.96,-13.9,-35.79,True,False
1753172281.809056,0.223,0.156,0.961,-0.488,0.916,0.854,9.92,-13.79,-33.39,True,False
1753172281.9170816,0.221,0.162,0.964,0.427,0.549,0.488,9.9,-13.63,-31.11,True,False
1753172282.042111,0.216,0.16,0.961,1.221,-1.953,-0.244,10.03,-13.61,-29.07,True,False
1753172282.1101248,0.222,0.167,0.96,-0.793,0.244,0.244,9.99,-13.56,-27.17,True,False
1753172282.2141483,0.218,0.159,0.963,-0.305,0.366,-0.793,9.89,-13.51,-25.35,True,False
1753172282.3041682,0.222,0.167,0.962,-0.549,0.732,-0.366,9.82,-13.43,-23.62,True,False
1753172282.4091783,0.235,0.164,0.96,0.0,0.854,-1.404,9.8,-13.43,-21.99,True,False
1753172282.5152025,0.228,0.156,0.965,-0.122,1.465,-0.732,9.77,-13.43,-20.45,True,False
1753172282.6042223,0.248,0.161,0.959,0.61,-0.916,-0.122,9.74,-13.4,-18.97,True,False
1753172282.7102456,0.223,0.154,0.96,-0.366,-0.793,0.732,9.71,-13.4,-17.59,True,False
1753172282.81427,0.215,0.166,0.962,-0.061,-1.099,0.61,9.67,-13.3,-16.27,True,False
1753172282.9042897,0.22,0.155,0.962,0.0,-1.648,0.488,9.7,-13.31,-15.08,True,False
1753172283.0093138,0.189,0.15,0.968,0.793,-2.502,0.061,9.67,-13.25,-13.92,True,False
1753172283.1149724,0.21,0.167,0.965,-0.793,0.854,0.0,9.69,-13.21,-12.87,True,False
1753172283.2045166,0.226,0.167,0.965,-0.183,2.197,-0.488,9.72,-13.25,-11.86,True,False
1753172283.3095405,0.235,0.165,0.96,1.038,0.488,-0.977,9.71,-13.25,-10.88,True,False
1753172283.399566,0.23,0.152,0.967,0.244,1.953,-0.854,9.72,-13.26,-10.02,True,False
1753172283.5055895,0.269,0.162,0.956,0.671,0.0,-0.244,9.68,-13.15,-9.11,True,False
1753172283.6096134,0.229,0.15,0.959,-0.366,-0.061,0.671,9.69,-13.23,-8.32,True,False
1753172283.6996336,0.232,0.166,0.96,0.183,-0.793,0.061,9.66,-13.11,-7.55,True,False
1753172283.80489,0.199,0.143,0.966,-0.427,-2.625,1.648,9.68,-13.13,-6.84,True,False
1753172283.9089127,0.197,0.169,0.963,-0.732,-0.488,0.549,9.62,-13.04,-6.11,True,False
