Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172648.0390062,0.176,0.162,0.971,0.366,0.732,-0.488,9.46,-9.94,1.71,True,False
1753172648.129026,0.167,0.157,0.974,1.526,-0.916,-0.061,9.56,-9.94,1.66,True,False
1753172648.2340503,0.176,0.156,0.972,0.061,-0.793,0.305,9.57,-9.96,1.67,True,False
1753172648.3390744,0.17,0.148,0.973,-1.343,0.427,0.0,9.49,-9.95,1.7,True,False
1753172648.4290943,0.179,0.168,0.971,1.038,0.183,-0.732,9.46,-9.9,1.67,True,False
1753172648.5341184,0.17,0.163,0.973,0.549,-0.305,0.122,9.59,-9.96,1.64,True,False
1753172648.6241384,0.182,0.15,0.971,0.061,-0.488,0.427,9.59,-10.0,1.66,True,False
1753172648.7291627,0.166,0.153,0.974,-1.16,0.61,0.0,9.45,-9.95,1.69,True,False
1753172648.8342838,0.181,0.168,0.97,1.709,-0.244,-0.549,9.51,-9.92,1.64,True,False
1753172648.9243042,0.174,0.157,0.972,0.0,0.366,0.061,9.61,-9.99,1.63,True,False
1753172649.0298321,0.188,0.155,0.972,-0.793,0.0,0.244,9.54,-9.98,1.67,True,False
1753172649.133856,0.174,0.161,0.973,0.061,0.916,-0.427,9.49,-9.95,1.66,True,False
1753172649.2248764,0.171,0.159,0.973,1.648,-1.648,0.122,9.57,-9.98,1.62,True,False
1753172649.3289006,0.179,0.157,0.973,0.0,-0.122,0.427,9.61,-10.01,1.65,True,False
1753172649.4345186,0.177,0.151,0.972,-1.221,0.366,0.122,9.54,-10.01,1.68,True,False
1753172649.524539,0.178,0.169,0.971,0.732,0.244,-0.488,9.5,-9.99,1.66,True,False
1753172649.6295702,0.17,0.161,0.972,1.038,-0.549,0.183,9.65,-10.05,1.63,True,False
1753172649.719591,0.183,0.149,0.973,-0.122,-0.793,0.61,9.65,-10.09,1.65,True,False
1753172649.824616,0.175,0.161,0.971,-0.366,-0.122,-0.122,9.56,-10.07,1.67,True,False
1753172649.929761,0.171,0.162,0.972,0.977,-0.427,0.0,9.62,-10.04,1.63,True,False
1753172650.0197816,0.181,0.17,0.97,0.244,-0.244,0.122,9.67,-10.04,1.63,True,False
