Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171707.526374,0.229,0.162,0.874,10.559,-1.77,-5.554,13.1,-19.53,161.26,True,False
1753171707.6313984,0.271,0.221,0.878,-1.831,16.418,-0.549,13.45,-18.06,155.88,True,False
1753171707.721538,0.244,0.262,0.912,1.404,11.963,-10.376,13.94,-16.97,150.12,True,False
1753171707.8266745,0.288,0.251,0.925,3.296,0.549,-2.747,14.31,-16.2,144.38,True,False
1753171707.916694,0.338,0.239,0.933,-0.916,-4.761,-0.366,14.46,-16.44,139.18,True,False
1753171708.0217187,0.295,0.24,0.925,-3.54,-2.502,1.099,14.19,-16.95,134.41,True,False
1753171708.1262894,0.292,0.233,0.928,-0.854,0.427,-0.61,14.03,-16.86,129.89,True,False
1753171708.2163136,0.31,0.249,0.922,0.854,-0.183,-0.549,14.01,-16.88,125.55,True,False
1753171708.3213365,0.291,0.227,0.929,0.305,-2.625,1.648,14.08,-17.09,121.49,True,False
1753171708.426824,0.312,0.238,0.922,-0.61,-0.122,0.0,14.04,-17.09,117.61,True,False
1753171708.516845,0.3,0.23,0.924,-0.061,-0.916,0.793,14.05,-17.24,113.92,True,False
1753171708.6218693,0.312,0.237,0.923,0.244,-1.404,1.038,14.05,-17.18,110.37,True,False
1753171708.7268934,0.294,0.236,0.928,0.122,0.183,-0.122,14.09,-17.26,107.02,True,False
1753171708.8169136,0.302,0.235,0.925,0.0,0.61,-0.854,14.1,-17.28,103.84,True,False
1753171708.9220102,0.308,0.235,0.925,-0.122,0.244,-0.244,14.11,-17.34,100.84,True,False
1753171709.0113266,0.314,0.239,0.924,0.122,0.61,-0.366,14.13,-17.36,97.99,True,False
1753171709.1160278,0.309,0.238,0.925,0.244,0.244,-0.061,14.16,-17.37,95.29,True,False
1753171709.2213209,0.304,0.232,0.925,0.061,-0.549,0.183,14.16,-17.41,92.74,True,False
1753171709.311341,0.305,0.237,0.924,0.244,-0.61,0.122,14.17,-17.41,90.32,True,False
1753171709.4161892,0.304,0.232,0.926,0.305,-0.732,0.427,14.2,-17.43,88.04,True,False
1753171709.5222137,0.304,0.233,0.926,0.0,-0.427,0.427,14.22,-17.43,85.89,True,False
1753171709.6112335,0.304,0.237,0.925,-0.122,0.732,-0.183,14.23,-17.42,83.85,True,False
1753171709.7168448,0.303,0.232,0.925,0.0,0.183,-0.122,14.24,-17.42,81.93,True,False
1753171709.8218672,0.298,0.235,0.925,0.0,-0.916,0.427,14.25,-17.44,80.12,True,False
1753171709.9118884,0.305,0.237,0.924,0.0,0.183,-0.061,14.25,-17.46,78.4,True,False
1753171710.016675,0.319,0.243,0.925,-0.183,1.221,-0.671,14.27,-17.48,76.79,True,False
1753171710.106354,0.315,0.239,0.923,0.793,-3.113,1.221,14.3,-17.56,75.23,True,False
1753171710.211378,0.305,0.233,0.927,-0.549,-0.366,0.549,14.27,-17.59,73.78,True,False
1753171710.3164039,0.309,0.237,0.924,-0.183,0.244,-0.122,14.23,-17.56,72.41,True,False
