Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753173032.3596942,0.088,0.103,0.97,-1.465,-2.625,2.686,5.77,-5.88,-111.06,False,True
1753173032.464718,0.102,0.119,0.991,5.554,0.366,-5.432,6.23,-6.42,-111.22,False,True
1753173032.5697417,0.116,0.097,0.98,-6.042,2.808,2.014,6.3,-6.17,-111.25,False,True
1753173032.6597621,0.1,0.126,0.989,0.488,4.333,-0.488,5.88,-5.98,-111.07,False,True
1753173032.7647922,0.166,0.06,0.982,0.61,0.366,-2.38,6.07,-6.18,-111.19,False,True
1753173032.8723776,0.14,0.108,0.986,-3.723,-0.916,5.737,5.84,-6.16,-110.93,False,True
1753173032.959397,0.087,0.091,0.985,0.183,-13.855,3.052,6.0,-6.25,-111.14,False,True
1753173033.0644212,0.078,0.093,0.993,-2.441,-1.831,2.502,6.09,-6.25,-111.13,False,True
1753173033.1694453,0.095,0.092,0.986,0.0,-0.854,-0.061,6.08,-6.11,-111.12,False,True
1753173033.2594655,0.129,0.085,0.993,0.183,0.916,-1.038,6.08,-6.0,-111.14,False,True
1753173033.3644884,-0.007,0.118,0.994,2.869,19.714,-4.7,6.28,-5.35,-111.3,False,True
1753173033.45451,0.078,0.106,0.993,-6.714,7.568,-3.662,6.64,-2.72,-111.01,False,True
1753173033.5615342,0.087,0.112,0.958,-9.094,-1.587,10.254,6.03,-3.39,-109.89,False,True
1753173033.6645563,0.051,0.092,1.006,-2.258,1.709,-0.427,5.65,-3.76,-108.95,False,True
1753173033.7565775,0.038,0.087,0.973,-10.315,-18.616,8.057,5.44,-4.44,-108.35,False,True
1753173033.8596022,0.066,0.096,0.998,2.686,10.315,-8.118,5.26,-4.18,-108.23,False,True
1753173033.9656308,0.084,0.105,0.983,0.793,6.958,-3.967,5.73,-3.36,-108.28,False,True
1753173034.0546489,-0.093,0.073,0.959,12.573,-19.165,-23.865,6.42,-3.81,-109.41,False,True
1753173034.1596742,0.003,0.066,0.994,3.723,6.775,6.47,6.6,-2.96,-111.86,False,True
1753173034.2666976,0.182,0.062,1.032,-15.076,0.0,10.803,6.25,-3.41,-111.7,False,True
1753173034.3547182,0.051,0.047,0.986,-9.46,-6.042,3.967,5.33,-4.83,-109.68,False,True
1753173034.4597425,-0.022,0.063,0.951,-4.7,-20.447,5.371,4.87,-4.86,-109.98,False,True
1753173034.5497622,0.112,0.116,0.989,-3.357,17.029,-6.226,4.83,-4.72,-110.25,False,True
1753173034.6547863,0.087,0.086,0.993,1.343,-11.902,6.165,4.88,-4.91,-109.98,False,True
1753173034.7598102,0.106,0.068,1.0,0.0,1.709,-0.549,4.77,-4.95,-109.96,False,True
1753173034.8498318,0.117,0.058,0.986,-4.7,-1.892,1.77,4.5,-4.94,-109.8,False,True
1753173034.954855,0.059,0.038,0.998,-1.16,-4.883,1.038,3.99,-5.31,-109.71,True,True
1753173035.059878,0.1,0.068,0.993,3.967,0.488,0.0,4.21,-5.41,-109.65,True,True
1753173035.149898,0.071,0.057,0.995,-1.648,2.686,0.0,4.37,-5.56,-109.43,True,True
1753173035.2549224,0.115,0.09,0.989,-0.122,-1.831,0.0,4.08,-5.6,-109.5,True,True
1753173035.359946,0.102,0.07,0.994,3.662,-1.282,0.0,4.24,-5.8,-109.43,True,False
1753173035.4499671,0.098,0.095,0.998,0.366,7.202,0.732,4.35,-5.72,-109.36,True,False
1753173035.55399,0.056,0.066,1.0,4.395,-8.728,0.244,4.33,-5.43,-109.39,True,False
1753173035.6450107,0.109,0.077,0.993,1.831,-0.854,2.136,4.38,-5.52,-109.47,True,False
1753173035.7500372,0.079,0.071,0.993,-0.061,3.662,0.0,4.42,-5.82,-109.29,True,False
1753173035.855061,0.099,0.064,0.993,0.854,-2.075,-0.854,4.42,-5.75,-109.36,True,False
1753173035.9440808,0.084,0.071,0.995,-0.793,0.854,0.427,4.39,-5.79,-109.37,True,False
1753173036.0501046,0.099,0.075,0.992,0.183,0.366,-0.732,4.42,-5.8,-109.4,True,False
1753173036.1551278,0.097,0.066,0.99,-0.122,0.183,-0.305,4.42,-5.82,-109.4,True,False
1753173036.2451491,0.103,0.075,0.991,0.305,1.526,-0.732,4.41,-5.81,-109.41,True,False
1753173036.350172,0.108,0.068,0.99,0.0,0.549,-0.244,4.42,-5.77,-109.45,True,False
1753173036.454325,0.094,0.068,0.991,0.488,-0.244,-0.488,4.39,-5.74,-109.46,True,False
1753173036.5445852,0.097,0.074,0.992,-0.977,0.488,-0.671,4.4,-5.71,-109.5,True,False
1753173036.6496086,0.091,0.073,0.994,-0.061,0.793,-0.244,4.41,-5.7,-109.5,True,False
1753173036.7396288,0.087,0.068,0.993,0.305,1.648,-0.61,4.41,-5.65,-109.51,True,False
1753173036.8446531,0.098,0.065,0.991,0.61,0.671,0.122,4.39,-5.59,-109.51,True,False
1753173036.9496768,0.085,0.065,0.994,0.732,1.221,-0.671,4.38,-5.56,-109.52,True,False
1753173037.0392017,0.095,0.072,0.992,0.183,1.16,-0.488,4.38,-5.47,-109.57,True,False
1753173037.1442258,0.077,0.066,0.993,-0.244,0.488,-0.549,4.4,-5.44,-109.62,True,False
1753173037.2492492,0.085,0.071,0.993,-0.305,0.244,-0.671,4.41,-5.34,-109.71,True,False
1753173037.3392699,0.086,0.07,0.993,-0.305,0.977,-0.305,4.41,-5.25,-109.75,True,False
1753173037.4442937,0.099,0.085,1.0,0.305,1.16,-1.404,4.44,-5.16,-109.81,True,False
1753173037.5493174,0.066,0.076,1.02,1.221,9.644,-5.127,4.52,-4.84,-110.06,True,False
1753173037.6393378,0.109,0.071,0.971,5.798,2.441,-7.263,4.81,-4.53,-110.56,True,False
1753173037.7443614,0.55,0.225,0.941,-1.282,-12.756,0.061,4.9,-5.27,-110.84,True,False
1753173037.8343818,0.149,0.108,0.964,-13.184,-82.153,-19.958,4.27,-9.4,-110.85,True,False
1753173037.9394083,0.213,0.025,0.977,-1.404,-5.92,-6.592,4.08,-11.46,-111.53,True,False
1753173038.0444317,0.047,0.1,0.884,8.362,-8.545,-1.465,3.91,-11.35,-108.4,True,False
1753173038.1344523,0.232,0.098,0.89,2.808,-3.357,-2.502,4.74,-11.15,-106.3,True,False
1753173038.2394757,0.244,0.096,0.965,-6.226,8.85,3.601,5.48,-10.05,-102.8,True,False
1753173038.3444998,0.098,0.064,0.995,2.869,-5.31,2.258,5.43,-9.25,-99.9,True,False
1753173038.4345198,0.157,0.096,0.997,-3.418,7.568,0.183,5.32,-8.17,-97.61,True,False
1753173038.5395436,0.166,0.102,1.011,4.211,-1.16,-2.502,5.45,-7.95,-95.47,True,True
1753173038.6442995,-0.002,0.066,1.097,-15.381,-22.522,5.859,5.2,-9.47,-93.49,True,True
1753173038.73432,0.128,0.122,0.954,8.118,-21.179,6.348,4.53,-10.68,-91.47,True,True
