Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171110.7883215,0.249,0.184,0.953,0.0,-0.427,0.0,11.04,-13.95,-54.07,True,False
1753171110.8937774,0.24,0.181,0.955,0.183,-0.366,0.366,11.06,-14.0,-54.07,True,False
1753171110.9837985,0.248,0.186,0.953,0.122,0.244,-0.122,11.07,-13.99,-54.07,True,False
1753171111.088299,0.243,0.183,0.954,0.061,0.061,-0.061,11.09,-14.01,-54.07,True,False
1753171111.1783185,0.244,0.186,0.953,0.061,0.122,0.0,11.09,-14.0,-54.07,True,False
1753171111.2833433,0.233,0.183,0.955,0.427,-0.244,-0.061,11.09,-14.0,-54.07,True,False
1753171111.3883672,0.24,0.185,0.955,0.061,0.427,-0.183,11.08,-13.95,-54.08,True,False
1753171111.477952,0.249,0.182,0.954,0.427,0.0,-0.122,11.1,-13.96,-54.1,True,False
1753171111.5839767,0.239,0.183,0.955,0.122,0.549,-0.122,11.1,-13.97,-54.09,True,False
1753171111.6879556,0.247,0.186,0.952,0.183,-0.122,0.0,11.11,-13.95,-54.1,True,False
1753171111.7779732,0.236,0.178,0.955,0.0,-0.122,0.244,11.11,-13.96,-54.09,True,False
1753171111.8835404,0.242,0.181,0.954,0.305,0.183,0.0,11.11,-13.94,-54.09,True,False
1753171111.9891167,0.248,0.185,0.954,-0.183,0.244,0.122,11.13,-13.95,-54.09,True,False
1753171112.0781362,0.25,0.188,0.952,-0.183,0.61,-0.122,11.13,-13.95,-54.09,True,False
1753171112.1831608,0.238,0.181,0.954,0.305,-0.488,0.488,11.14,-13.97,-54.1,True,False
1753171112.273603,0.236,0.185,0.954,0.427,-0.244,0.366,11.15,-13.94,-54.1,True,False
1753171112.3786273,0.234,0.185,0.955,0.366,-0.244,0.183,11.16,-13.93,-54.1,True,False
1753171112.4831965,0.245,0.182,0.955,0.366,0.366,0.0,11.17,-13.91,-54.09,True,False
1753171112.5732806,0.145,0.19,0.979,0.61,0.732,-0.427,11.18,-13.93,-54.09,True,False
1753171112.678305,0.319,0.163,0.956,-2.197,-12.085,7.08,11.14,-14.19,-54.09,True,False
1753171112.7832668,0.24,0.156,0.929,8.179,-13.916,0.916,10.84,-15.97,-53.84,True,False
