Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753170384.7634351,0.266,0.22,0.97,1.77,17.883,-8.789,14.17,-18.46,-4.59,True,True
1753170384.8537805,0.22,0.23,0.929,-3.967,11.23,-7.08,14.4,-16.84,-4.48,True,True
1753170384.9588344,0.288,0.264,0.924,5.859,-4.761,0.183,14.83,-16.19,-4.26,True,True
1753170385.0634708,0.224,0.255,0.906,-5.981,-2.991,-0.977,14.5,-16.63,-4.05,True,True
1753170385.1540434,0.162,0.275,0.94,0.061,11.169,0.488,14.08,-15.86,-3.56,True,True
1753170385.2584713,0.176,0.258,0.959,4.517,-3.113,2.808,14.62,-15.22,-3.33,True,True
1753170385.3489227,0.315,0.197,0.877,0.427,-1.404,-0.977,14.55,-15.25,-3.12,True,True
1753170385.4539452,0.207,0.264,0.926,4.272,28.748,-4.639,14.4,-14.66,-2.75,True,True
1753170385.558889,0.211,0.262,0.944,-2.441,-7.446,0.977,14.53,-14.38,-2.58,True,True
1753170385.6488304,0.23,0.225,0.945,-4.211,-7.751,3.479,13.9,-14.94,-2.47,True,True
1753170385.7537367,0.215,0.231,0.95,0.183,2.808,-1.831,13.68,-15.08,-2.38,True,True
1753170385.8590775,0.232,0.213,0.964,-0.183,0.0,0.427,13.77,-14.72,-2.21,True,True
1753170385.9491751,0.208,0.249,0.932,2.747,5.127,3.601,13.91,-14.52,-1.87,True,True
1753170386.0532568,0.196,0.24,0.944,-0.366,1.953,-4.333,14.36,-14.0,-1.77,True,True
1753170386.1586268,0.219,0.239,0.951,1.526,4.944,-1.526,14.39,-13.75,-1.93,True,True
1753170386.2487628,0.226,0.233,0.949,-2.136,-2.686,1.465,14.12,-13.91,-1.83,False,True
1753170386.3531916,0.219,0.233,0.945,-1.099,-0.732,0.427,13.97,-13.99,-1.71,False,True
1753170386.4439375,0.218,0.241,0.945,-0.061,-0.122,-0.244,13.96,-13.88,-1.58,False,True
1753170386.549048,0.228,0.234,0.946,1.892,2.319,-0.916,14.07,-13.72,-1.45,True,True
1753170386.6540477,0.215,0.238,0.947,0.549,0.0,-0.793,14.06,-13.72,-1.36,True,True
1753170386.743854,0.234,0.235,0.946,-0.854,0.305,-0.244,14.06,-13.66,-1.29,True,True
1753170386.849043,0.224,0.232,0.949,-0.183,-0.793,0.0,14.0,-13.71,-1.21,True,True
1753170386.9534972,0.227,0.233,0.948,0.0,-0.854,0.183,13.99,-13.69,-1.14,True,False
1753170387.0438309,0.225,0.232,0.949,-0.244,-0.122,-0.061,13.96,-13.71,-1.07,True,False
1753170387.1481688,0.227,0.231,0.948,-0.183,-0.305,0.061,13.95,-13.67,-0.97,True,False
1753170387.2537348,0.225,0.232,0.948,0.0,0.061,0.0,13.92,-13.65,-0.9,True,False
1753170387.344052,0.23,0.235,0.949,0.183,0.122,0.0,13.92,-13.6,-0.83,True,False
1753170387.4491081,0.232,0.227,0.949,0.0,0.305,-0.549,13.93,-13.57,-0.76,True,False
1753170387.5381353,0.237,0.234,0.946,0.183,0.61,-0.488,13.93,-13.53,-0.71,True,False
1753170387.6451738,0.232,0.237,0.947,0.122,0.0,0.0,13.94,-13.49,-0.65,True,False
1753170387.748192,0.227,0.231,0.947,-0.061,0.366,-0.305,13.94,-13.48,-0.61,True,False
1753170387.8382106,0.211,0.233,0.949,-0.366,-2.258,0.366,13.94,-13.45,-0.58,True,False
1753170387.9440458,0.252,0.215,0.955,-0.366,-2.136,0.244,13.91,-13.57,-0.59,True,False
1753170388.0490527,0.238,0.218,0.98,-0.671,-0.854,-0.977,13.77,-13.8,-0.52,True,False
1753170388.1410825,0.355,0.241,0.974,-7.751,-5.371,3.906,13.49,-14.08,-0.43,True,False
1753170388.2440515,0.2,0.123,0.903,-12.39,-13.611,9.033,12.5,-15.35,-0.04,True,False
1753170388.3490486,0.251,0.2,0.972,-11.047,12.512,-5.737,11.07,-14.69,0.24,True,False
1753170388.43905,0.175,0.142,0.963,6.836,16.846,-7.141,11.17,-13.64,0.21,True,False
1753170388.5433204,0.298,0.098,0.853,-5.554,1.709,-1.526,10.91,-12.62,0.04,True,False
1753170388.6482024,0.186,0.233,0.889,38.879,-11.719,11.108,12.35,-14.27,1.07,True,False
1753170388.7390277,0.235,0.239,0.945,26.978,-13.184,9.338,15.69,-14.92,1.04,True,False
1753170388.8441093,0.156,0.29,0.945,1.953,-7.507,-1.648,15.63,-14.47,0.73,True,False
1753170388.9334564,0.223,0.262,0.942,-1.953,4.578,-4.456,15.74,-13.49,0.21,True,False
1753170389.0384815,0.21,0.251,0.944,-1.404,7.324,-2.502,15.58,-13.19,0.27,True,False
1753170389.1441038,0.198,0.271,0.944,-0.061,-2.075,0.488,15.5,-12.97,0.27,True,False
1753170389.2330995,0.224,0.261,0.941,0.061,1.16,-1.282,15.54,-12.91,0.2,True,False
1753170389.3384285,0.22,0.265,0.94,-0.244,1.038,-0.732,15.55,-12.93,0.2,True,False
1753170389.4435294,0.208,0.261,0.942,0.183,0.0,-0.183,15.56,-12.85,0.19,True,False
1753170389.5334263,0.225,0.259,0.942,-0.488,0.549,-0.244,15.55,-12.77,0.2,True,False
1753170389.6384628,0.221,0.252,0.943,-0.061,1.221,-0.732,15.51,-12.77,0.21,True,False
1753170389.743419,0.214,0.271,0.941,0.0,0.793,-0.122,15.51,-12.69,0.23,True,False
1753170389.8335073,0.209,0.258,0.944,0.366,0.366,-0.122,15.55,-12.65,0.23,True,False
1753170389.938531,0.213,0.265,0.94,0.305,0.0,-0.183,15.55,-12.62,0.26,True,False
1753170390.0284712,0.217,0.258,0.943,0.183,-0.549,0.0,15.57,-12.6,0.24,True,False
1753170390.1340556,0.22,0.259,0.942,0.061,0.61,-0.427,15.57,-12.57,0.25,True,False
1753170390.2385828,0.217,0.262,0.941,0.183,-0.244,0.0,15.58,-12.56,0.27,True,False
1753170390.3290532,0.215,0.261,0.943,0.0,0.0,0.0,15.6,-12.54,0.28,True,False
1753170390.4340763,0.208,0.261,0.946,-0.061,0.0,-0.061,15.6,-12.51,0.29,True,False
