Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753170755.5088558,0.177,0.226,0.96,0.0,0.122,-0.061,13.12,-9.95,-61.84,True,False
1753170755.5982797,0.177,0.222,0.958,0.122,0.427,-0.183,13.13,-9.95,-61.84,True,False
1753170755.7033412,0.172,0.223,0.959,0.244,0.122,0.0,13.13,-9.94,-61.84,True,False
1753170755.8083694,0.171,0.221,0.96,0.122,-0.244,0.061,13.13,-9.93,-61.84,True,False
1753170755.898872,0.168,0.222,0.96,0.061,-0.183,0.122,13.13,-9.93,-61.84,True,False
1753170756.0038953,0.17,0.222,0.96,0.061,0.183,0.0,13.12,-9.92,-61.84,True,False
1753170756.1089253,0.173,0.219,0.961,0.183,0.183,0.0,13.12,-9.92,-61.84,True,False
1753170756.197936,0.175,0.225,0.958,0.061,-0.122,0.0,13.13,-9.91,-61.83,True,False
1753170756.303947,0.174,0.22,0.959,0.122,-0.305,0.0,13.13,-9.93,-61.84,True,False
1753170756.4082265,0.17,0.222,0.959,0.122,-0.122,0.0,13.13,-9.94,-61.84,True,False
1753170756.498895,0.171,0.221,0.96,0.122,-0.183,0.0,13.13,-9.94,-61.84,True,False
