Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753170562.7257874,0.252,0.299,0.917,-11.597,7.141,-3.418,16.78,-14.0,11.32,True,False
1753170562.8158083,0.274,0.266,0.931,-3.845,8.545,-12.085,16.55,-14.43,11.01,True,False
1753170562.9208539,0.237,0.259,0.936,-1.526,-0.977,-0.916,16.26,-14.33,10.94,True,False
1753170563.0258934,0.248,0.273,0.931,-0.305,-0.366,-0.793,16.18,-14.29,10.83,True,False
1753170563.1155417,0.254,0.268,0.933,0.183,3.296,-0.61,16.17,-14.32,10.83,True,False
1753170563.2212265,0.252,0.264,0.933,-0.183,-1.465,-0.793,16.08,-14.43,11.0,True,False
1753170563.3112516,0.24,0.265,0.935,-0.183,0.244,-0.427,16.07,-14.45,10.9,True,False
1753170563.4158993,0.249,0.266,0.934,-0.122,0.916,-0.366,16.05,-14.39,10.88,True,False
1753170563.5209234,0.237,0.259,0.935,0.0,0.977,-0.488,16.03,-14.35,10.87,True,False
1753170563.6109486,0.228,0.267,0.935,0.061,-0.061,0.244,16.02,-14.24,10.86,True,False
1753170563.7159731,0.236,0.27,0.933,0.061,0.732,-0.488,16.02,-14.2,10.85,True,False
1753170563.8209965,0.232,0.262,0.935,0.0,0.0,-0.061,16.03,-14.23,10.84,True,False
1753170563.9110165,0.237,0.266,0.936,0.0,0.244,0.0,16.02,-14.21,10.84,True,False
1753170564.0162163,0.244,0.268,0.933,-0.061,0.244,-0.305,16.02,-14.2,10.83,True,False
1753170564.1209137,0.244,0.263,0.935,0.0,0.671,-0.366,16.01,-14.21,10.82,True,False
1753170564.2108207,0.246,0.265,0.934,0.0,0.0,-0.122,15.99,-14.19,10.83,True,False
1753170564.3163748,0.247,0.263,0.935,0.0,0.0,-0.183,15.98,-14.21,10.81,True,False
1753170564.420397,0.25,0.263,0.935,0.0,0.0,-0.244,15.96,-14.19,10.81,True,False
1753170564.511417,0.254,0.262,0.935,0.0,0.488,-0.244,15.95,-14.19,10.79,True,False
1753170564.615441,0.244,0.259,0.935,0.0,0.0,-0.122,15.93,-14.19,10.78,True,False
1753170564.7054615,0.246,0.266,0.935,0.122,0.122,-0.122,15.93,-14.17,10.77,True,False
1753170564.8114192,0.241,0.261,0.936,0.0,0.244,-0.244,15.94,-14.18,10.76,True,False
1753170564.9159093,0.245,0.263,0.935,-0.061,0.366,-0.366,15.92,-14.17,10.75,True,False
1753170565.0064476,0.245,0.26,0.936,0.0,0.244,-0.427,15.91,-14.18,10.72,True,False
1753170565.1108139,0.247,0.266,0.934,0.0,-0.244,-0.183,15.9,-14.17,10.71,True,False
1753170565.2158384,0.243,0.262,0.936,0.0,0.305,0.0,15.9,-14.19,10.69,True,False
1753170565.3057165,0.245,0.265,0.935,0.0,0.0,-0.183,15.89,-14.17,10.69,True,False
1753170565.4107394,0.241,0.262,0.936,0.0,-0.183,0.0,15.88,-14.18,10.68,True,False
1753170565.5157633,0.247,0.261,0.935,0.0,-0.061,-0.061,15.88,-14.18,10.67,True,False
1753170565.6058965,0.243,0.259,0.937,0.061,0.366,0.0,15.86,-14.18,10.67,True,False
1753170565.7107892,0.245,0.263,0.936,0.061,0.0,0.0,15.85,-14.14,10.68,True,False
1753170565.8008137,0.247,0.266,0.935,0.0,0.488,0.0,15.85,-14.13,10.69,True,False
1753170565.905819,0.245,0.263,0.936,0.061,-0.122,-0.305,15.84,-14.14,10.68,True,False
1753170566.0112326,0.246,0.261,0.936,0.061,-0.122,0.061,15.83,-14.14,10.68,True,False
1753170566.1008034,0.247,0.26,0.936,0.0,0.488,-0.183,15.83,-14.14,10.68,True,False
1753170566.2059195,0.248,0.258,0.938,-0.061,0.427,-0.183,15.81,-14.12,10.67,True,False
1753170566.3112674,0.245,0.262,0.936,0.0,-0.244,0.183,15.8,-14.08,10.68,True,False
1753170566.4008071,0.243,0.261,0.936,0.0,0.0,0.122,15.8,-14.08,10.67,True,False
1753170566.5059175,0.24,0.264,0.936,0.122,0.0,0.0,15.79,-14.07,10.67,True,False
1753170566.6109252,0.241,0.261,0.936,0.061,0.0,0.0,15.79,-14.06,10.66,True,False
1753170566.7009263,0.243,0.263,0.936,0.122,-0.122,0.0,15.79,-14.05,10.66,True,False
1753170566.8062181,0.242,0.263,0.936,0.061,0.061,-0.061,15.79,-14.05,10.65,True,False
1753170566.8957813,0.245,0.265,0.935,0.0,0.671,-0.305,15.79,-14.03,10.65,True,False
1753170567.0008035,0.244,0.259,0.937,0.244,-0.183,-0.122,15.79,-14.04,10.63,True,False
1753170567.105906,0.243,0.263,0.936,0.0,0.427,-0.122,15.79,-14.02,10.64,True,False
1753170567.1959012,0.241,0.26,0.936,0.122,-0.122,-0.061,15.79,-14.02,10.62,True,False
1753170567.3009274,0.244,0.262,0.936,0.0,0.305,-0.183,15.79,-14.02,10.62,True,False
1753170567.405944,0.243,0.26,0.937,0.0,0.0,-0.122,15.78,-14.03,10.62,True,False
1753170567.4958992,0.247,0.266,0.935,0.061,0.122,0.0,15.78,-14.03,10.62,True,False
1753170567.6009188,0.248,0.261,0.935,0.122,0.732,0.0,15.78,-14.03,10.62,True,False
1753170567.705922,0.243,0.259,0.937,0.305,-0.244,0.122,15.78,-14.02,10.63,True,False
1753170567.7958205,0.242,0.262,0.936,0.0,0.183,-0.061,15.78,-14.01,10.63,True,False
