Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171065.0675616,0.316,0.148,0.944,0.366,-0.671,-0.244,9.18,-17.85,127.6,True,False
1753171065.1726248,0.306,0.148,0.945,0.0,-0.183,0.916,9.2,-17.87,127.44,True,False
1753171065.2776453,0.3,0.148,0.944,0.061,-0.732,0.671,9.18,-17.84,127.3,True,False
1753171065.367666,0.303,0.148,0.943,0.183,-0.122,-0.183,9.18,-17.84,127.08,True,False
1753171065.4726903,0.308,0.148,0.942,0.122,-0.427,0.183,9.18,-17.83,126.95,True,False
1753171065.5777206,0.303,0.147,0.943,0.183,-0.488,0.61,9.17,-17.84,126.89,True,False
1753171065.6677408,0.304,0.148,0.945,0.183,0.122,-0.244,9.17,-17.84,126.8,True,False
1753171065.7727656,0.302,0.149,0.944,0.122,0.061,0.122,9.16,-17.81,126.72,True,False
1753171065.877789,0.307,0.148,0.943,0.061,0.183,0.0,9.16,-17.81,126.56,True,False
1753171065.9678087,0.309,0.146,0.944,0.061,-0.183,0.061,9.15,-17.82,126.48,True,False
1753171066.0728333,0.306,0.148,0.942,0.061,0.122,-0.122,9.14,-17.8,126.4,True,False
1753171066.177857,0.308,0.148,0.943,0.0,-0.244,0.366,9.13,-17.83,126.35,True,False
1753171066.2678766,0.307,0.147,0.944,0.0,-0.061,0.183,9.11,-17.83,126.32,True,False
1753171066.3729,0.309,0.146,0.942,0.183,-0.244,0.122,9.11,-17.83,126.18,True,False
1753171066.4629204,0.309,0.147,0.943,0.0,-0.305,0.183,9.1,-17.85,126.12,True,False
1753171066.567944,0.312,0.147,0.942,0.061,-0.183,0.061,9.09,-17.87,126.06,True,False
