Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172293.1643069,0.243,0.163,0.958,0.366,0.854,-0.732,10.55,-14.13,-24.0,True,False
1753172293.2703307,0.242,0.166,0.957,3.052,1.099,-0.305,10.7,-14.0,-23.2,True,False
1753172293.3593514,0.225,0.163,0.962,-3.845,0.0,0.183,10.68,-13.83,-22.4,True,False
1753172293.4643748,0.243,0.152,0.958,0.854,-1.831,-0.305,10.61,-13.82,-21.66,True,False
1753172293.5694005,0.232,0.17,0.962,-3.723,7.568,-5.31,10.37,-13.66,-21.14,True,False
1753172293.6594207,0.226,0.159,0.961,0.427,0.305,-1.099,10.38,-13.45,-20.58,True,False
1753172293.7644513,0.246,0.17,0.969,0.122,1.038,-0.488,10.29,-13.37,-19.95,True,False
1753172293.869695,0.212,0.19,0.95,6.836,0.305,-2.258,10.56,-13.4,-19.37,True,False
1753172293.959715,0.223,0.197,0.954,5.92,5.005,-7.812,11.51,-12.93,-19.5,True,False
1753172294.0647378,0.193,0.212,0.953,8.789,2.747,-7.751,12.33,-12.54,-19.58,True,False
1753172294.154758,0.185,0.214,0.947,5.859,0.977,-4.333,13.04,-12.13,-19.63,True,False
1753172294.2597823,0.203,0.212,0.952,1.343,-0.732,-0.427,13.24,-11.99,-19.48,True,False
1753172294.3647516,0.189,0.192,0.961,-4.944,-0.854,0.0,12.89,-12.15,-19.07,True,False
1753172294.4547722,0.209,0.214,0.96,-1.953,2.625,-1.526,12.54,-12.03,-18.67,True,False
1753172294.5597956,0.217,0.19,0.958,-0.732,0.366,-0.549,12.46,-12.06,-18.32,True,False
1753172294.6648192,0.203,0.202,0.96,-1.526,2.686,-0.732,12.29,-12.03,-17.92,True,False
1753172294.7548397,0.22,0.195,0.957,0.793,-0.244,-0.366,12.24,-11.88,-17.61,True,False
1753172294.8598626,0.209,0.199,0.958,0.0,-0.549,0.427,12.21,-11.91,-17.27,True,False
1753172294.9643443,0.203,0.196,0.959,0.61,-1.038,0.061,12.18,-11.87,-16.97,True,False
1753172295.0543637,0.198,0.196,0.958,-0.061,-0.305,0.366,12.16,-11.89,-16.67,True,False
1753172295.1593993,0.202,0.196,0.959,0.183,-0.183,-0.244,12.13,-11.88,-16.39,True,False
1753172295.2494195,0.2,0.196,0.96,0.0,0.549,-0.122,12.11,-11.88,-16.13,True,False
1753172295.3544436,0.203,0.199,0.96,-0.183,1.221,-0.549,12.11,-11.87,-15.89,True,False
1753172295.4594343,0.215,0.198,0.959,0.122,0.061,0.0,12.1,-11.85,-15.67,True,False
