Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753173199.7317247,0.099,0.109,0.987,-0.244,0.183,0.61,6.99,-5.82,-73.88,True,False
1753173199.8217452,0.102,0.111,0.988,1.221,-0.732,-0.549,6.94,-5.77,-73.88,True,False
1753173199.9267058,0.097,0.126,0.988,-1.282,1.16,-0.061,6.97,-5.79,-73.88,True,False
1753173200.0317297,0.101,0.105,0.986,0.732,-0.244,0.0,6.99,-5.79,-73.93,True,False
1753173200.1212556,0.107,0.118,0.988,0.0,-0.122,-0.244,6.94,-5.77,-73.91,True,False
1753173200.2262795,0.093,0.109,0.986,-0.61,-0.305,0.305,6.95,-5.76,-73.89,True,False
1753173200.331303,0.107,0.118,0.987,1.099,1.221,-0.977,6.94,-5.73,-73.93,True,False
1753173200.4213233,0.1,0.121,0.987,-0.793,-0.427,-0.122,6.95,-5.72,-73.94,True,False
1753173200.5263479,0.109,0.109,0.985,0.793,0.0,0.549,6.97,-5.73,-73.94,True,False
1753173200.61703,0.101,0.115,0.988,1.221,-0.549,-0.854,6.95,-5.76,-73.97,True,False
1753173200.7210531,0.093,0.121,0.988,-0.977,0.854,0.366,6.97,-5.71,-73.96,True,False
1753173200.8270776,0.1,0.105,0.986,1.099,-0.244,0.122,6.99,-5.72,-73.98,True,False
1753173200.9170992,0.096,0.117,0.988,-0.244,-0.854,0.061,6.92,-5.73,-73.95,True,False
1753173201.0211213,0.104,0.122,0.987,-0.305,0.0,0.122,6.94,-5.73,-73.94,True,False
1753173201.1271453,0.093,0.111,0.988,1.526,0.488,-0.122,6.97,-5.75,-73.98,True,False
1753173201.2183976,0.102,0.117,0.988,0.305,-0.427,0.549,6.95,-5.75,-73.95,True,False
1753173201.3213875,0.109,0.113,0.986,0.183,0.488,0.549,6.95,-5.82,-73.93,True,False
1753173201.4263256,0.111,0.115,0.988,0.488,-0.183,-0.671,6.94,-5.81,-73.95,True,False
1753173201.516345,0.104,0.121,0.987,-1.282,-0.244,0.916,6.93,-5.84,-73.91,True,False
1753173201.621369,0.105,0.112,0.987,0.854,-0.671,-0.427,6.95,-5.88,-73.94,True,False
1753173201.7263925,0.103,0.116,0.988,-0.671,0.183,0.0,6.92,-5.87,-73.95,True,False
1753173201.816413,0.114,0.117,0.986,0.488,-0.61,0.0,6.95,-5.91,-73.94,True,False
1753173201.921437,0.106,0.104,0.987,-0.122,-0.488,0.793,6.93,-5.96,-73.92,True,False
1753173202.0113256,0.098,0.13,0.988,-0.183,-0.305,-0.671,6.91,-5.94,-73.91,True,False
1753173202.1173503,0.101,0.093,0.986,-0.183,0.427,0.427,6.98,-5.94,-73.97,True,False
1753173202.221376,0.107,0.13,0.988,0.244,-0.244,-1.038,6.89,-5.84,-73.97,True,False
1753173202.3113956,0.1,0.115,0.987,-0.671,0.122,-0.122,6.97,-5.86,-74.03,True,False
1753173202.4164195,0.099,0.106,0.986,1.038,0.732,-0.305,6.94,-5.81,-74.05,True,False
1753173202.521936,0.097,0.12,0.988,0.244,-0.366,0.061,6.92,-5.8,-74.04,True,False
1753173202.611956,0.11,0.114,0.985,0.122,0.183,0.732,6.94,-5.81,-74.04,True,False
1753173202.7169797,0.101,0.107,0.987,1.587,-0.732,-0.305,6.92,-5.83,-74.05,True,False
1753173202.8220096,0.093,0.124,0.99,-1.099,1.221,-0.366,6.94,-5.78,-74.06,True,False
1753173202.91203,0.121,0.111,0.985,0.122,-0.427,0.732,6.98,-5.8,-74.08,True,False
1753173203.0170546,0.098,0.113,0.987,0.732,-0.244,-0.732,6.91,-5.83,-74.05,True,False
1753173203.1070738,0.094,0.12,0.99,-0.427,-0.793,-0.427,6.95,-5.8,-74.1,True,False
1753173203.2120976,0.107,0.12,0.987,-0.427,1.221,0.671,6.98,-5.78,-74.11,True,False
1753173203.3163192,0.098,0.11,0.987,2.014,-1.404,-0.366,6.94,-5.8,-74.13,True,False
1753173203.4063382,0.09,0.121,0.989,-0.977,0.366,0.183,6.95,-5.8,-74.1,True,False
1753173203.5113626,0.107,0.114,0.986,0.427,0.732,0.0,6.97,-5.8,-74.12,True,False
1753173203.6163857,0.103,0.116,0.988,0.854,0.244,-0.549,6.93,-5.81,-74.13,True,False
1753173203.7064064,0.113,0.117,0.986,-0.305,0.0,0.549,6.95,-5.83,-74.12,True,False
1753173203.8114307,0.101,0.111,0.988,1.038,0.0,0.0,6.94,-5.87,-74.12,True,False
1753173203.9234552,0.099,0.121,0.987,-0.732,0.244,0.0,6.92,-5.84,-74.11,True,False
1753173204.0234787,0.097,0.105,0.985,0.183,0.244,0.183,6.94,-5.87,-74.11,True,False
1753173204.112499,0.108,0.125,0.987,0.0,-0.977,-0.61,6.9,-5.86,-74.12,True,False
1753173204.20152,0.103,0.114,0.988,-0.366,0.732,0.366,6.93,-5.86,-74.11,True,False
1753173204.3065424,0.102,0.114,0.985,1.282,0.061,-0.61,6.94,-5.85,-74.15,True,False
1753173204.4115655,0.1,0.122,0.988,-0.671,0.0,0.122,6.92,-5.83,-74.15,True,False
1753173204.5015879,0.104,0.106,0.986,0.61,0.732,-0.061,6.95,-5.84,-74.17,True,False
1753173204.606612,0.109,0.121,0.988,0.671,-0.916,-0.549,6.9,-5.82,-74.19,True,False
1753173204.71164,0.102,0.121,0.987,-0.732,1.038,0.488,6.93,-5.82,-74.17,True,False
1753173204.8016598,0.098,0.099,0.985,1.648,-0.183,0.0,6.94,-5.83,-74.2,True,False
1753173204.9066846,0.106,0.123,0.989,-0.061,-0.061,-0.549,6.9,-5.8,-74.19,True,False
1753173205.011708,0.114,0.114,0.986,0.122,-0.244,0.488,6.94,-5.82,-74.21,True,False
1753173205.101833,0.1,0.114,0.988,1.099,0.0,-0.061,6.92,-5.83,-74.22,True,False
1753173205.2068439,0.1,0.124,0.988,-0.183,1.099,-0.305,6.93,-5.78,-74.23,True,False
1753173205.296865,0.103,0.108,0.987,0.488,0.122,0.793,6.95,-5.81,-74.22,True,False
1753173205.4018908,0.107,0.119,0.988,0.488,-0.366,-0.366,6.9,-5.81,-74.21,True,False
1753173205.5069146,0.103,0.125,0.988,-0.671,0.244,0.183,6.93,-5.8,-74.21,True,False
1753173205.5969348,0.1,0.104,0.987,1.16,0.122,0.366,6.93,-5.81,-74.22,True,False
1753173205.7019587,0.104,0.125,0.989,0.244,-0.183,-0.671,6.9,-5.79,-74.23,True,False
1753173205.806983,0.098,0.117,0.989,-0.549,0.793,-0.122,6.96,-5.81,-74.26,True,False
1753173205.897003,0.104,0.109,0.986,0.916,-0.61,-0.122,6.97,-5.78,-74.31,True,False
1753173206.0020273,0.092,0.117,0.988,-0.427,-1.038,-0.244,6.93,-5.82,-74.3,True,False
1753173206.106419,0.092,0.114,0.987,-0.732,0.488,0.122,6.96,-5.78,-74.3,True,False
1753173206.1964393,0.101,0.105,0.988,0.793,0.488,-0.183,6.94,-5.78,-74.32,True,False
1753173206.3014634,0.1,0.125,0.987,-0.732,-0.061,-0.061,6.92,-5.82,-74.26,True,False
1753173206.3919222,0.097,0.106,0.987,0.183,0.0,0.122,6.94,-5.87,-74.27,True,False
1753173206.4969943,0.105,0.107,0.986,0.305,0.183,0.122,6.9,-5.84,-74.26,True,False
1753173206.6020215,0.099,0.117,0.988,-0.244,-0.549,0.122,6.88,-5.85,-74.22,True,False
1753173206.6920416,0.105,0.114,0.988,-0.122,0.61,-0.122,6.9,-5.87,-74.24,True,False
1753173206.7970653,0.108,0.11,0.985,0.427,-0.488,0.305,6.89,-5.86,-74.23,True,False
1753173206.9020886,0.104,0.112,0.988,0.061,-0.793,0.0,6.87,-5.87,-74.22,True,False
1753173206.9921093,0.102,0.11,0.987,0.0,0.366,0.0,6.88,-5.86,-74.22,True,False
1753173207.0971615,0.104,0.118,0.988,0.183,-0.366,-0.488,6.88,-5.86,-74.26,True,False
1753173207.2021852,0.1,0.113,0.988,-0.122,0.549,-0.61,6.9,-5.84,-74.3,True,False
1753173207.2912056,0.102,0.118,0.986,0.122,-0.244,0.061,6.9,-5.83,-74.31,True,False
1753173207.3962371,0.103,0.108,0.987,0.0,0.122,0.0,6.88,-5.84,-74.29,True,False
1753173207.487257,0.106,0.13,0.99,-0.061,0.854,-0.671,6.87,-5.8,-74.3,True,False
1753173207.5912805,0.102,0.102,0.987,0.427,0.671,-0.916,6.94,-5.77,-74.37,True,False
1753173207.697304,0.119,0.115,0.985,0.427,-0.793,0.122,6.9,-5.82,-74.36,True,False
1753173207.7869344,0.098,0.129,0.988,0.061,0.183,-1.526,6.93,-5.88,-74.43,True,False
1753173207.8914628,0.098,0.104,0.988,-1.221,1.099,0.244,7.01,-5.85,-74.47,True,False
1753173207.996487,0.112,0.13,0.986,0.549,-1.465,0.0,6.96,-5.83,-74.43,True,False
1753173208.0865073,0.096,0.12,0.989,0.427,-2.258,0.366,7.02,-5.99,-74.46,True,False
1753173208.1915302,0.113,0.104,0.987,-0.488,0.793,1.038,7.01,-6.01,-74.4,True,False
1753173208.2985592,0.112,0.118,0.986,0.305,0.366,0.366,6.93,-6.02,-74.3,True,False
1753173208.3865802,0.114,0.122,0.988,-0.793,0.854,-0.183,6.93,-6.0,-74.3,True,False
1753173208.4916039,0.099,0.116,0.988,0.305,0.488,-0.427,6.94,-6.01,-74.32,True,False
