Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753173112.7156906,0.085,0.057,0.997,4.15,0.305,-6.226,3.61,-4.87,-70.13,False,True
1753173112.8051481,0.148,0.058,0.985,-2.808,-3.845,-3.601,3.48,-5.0,-70.59,False,True
1753173112.9121723,0.012,0.04,1.017,-2.014,5.554,1.099,3.24,-5.17,-70.7,False,True
1753173113.0151956,0.057,0.049,1.008,-3.601,-6.714,6.775,2.94,-4.49,-70.7,False,True
1753173113.108216,0.122,0.08,0.991,-3.479,-0.732,-2.563,2.6,-4.97,-70.52,False,True
1753173113.2102404,0.093,0.03,0.993,-0.977,1.16,2.319,2.84,-5.25,-70.48,False,True
1753173113.3157692,0.114,0.046,0.99,3.052,-12.878,4.578,2.7,-5.45,-70.34,False,True
1753173113.4077883,0.09,0.042,0.988,2.136,3.418,0.854,2.89,-5.91,-70.13,False,True
1753173113.5108128,0.119,0.062,0.973,-0.427,4.211,-0.793,2.9,-5.41,-70.11,False,True
1753173113.6158366,0.148,0.06,0.98,-3.906,-12.268,-0.671,3.0,-5.94,-70.07,False,True
1753173113.7058566,0.061,0.024,1.007,-0.916,1.221,-2.38,2.55,-6.43,-70.2,False,True
1753173113.8108816,0.12,0.06,0.967,-5.066,6.409,1.709,2.42,-5.43,-70.32,False,True
1753173113.9359088,0.126,-0.048,0.949,-39.612,1.953,-6.531,0.46,-5.56,-70.75,False,True
1753173114.0309298,0.035,-0.054,1.042,-5.493,-5.066,0.793,-2.06,-6.36,-70.44,False,True
1753173114.1109295,0.139,0.08,0.99,20.569,1.282,-7.263,-1.01,-5.37,-70.96,False,True
1753173114.2009492,0.113,-0.065,1.002,-7.202,-4.028,-1.16,-0.23,-5.32,-70.99,False,True
1753173114.3059742,0.145,-0.034,1.057,-14.221,-6.348,-1.77,-2.43,-6.14,-71.32,False,True
1753173114.4105022,0.013,-0.005,1.089,20.264,1.221,-5.676,-1.25,-5.95,-71.76,False,True
1753173114.5005233,0.234,-0.019,1.031,-10.193,13.184,-8.179,0.19,-4.43,-72.03,False,True
1753173114.605547,0.126,-0.044,1.01,-14.832,-13.733,1.648,-0.64,-5.64,-72.19,False,True
1753173114.7105708,0.112,-0.022,0.989,1.404,-1.038,1.831,-0.85,-5.29,-72.1,False,True
1753173114.8005908,0.1,0.008,0.995,9.46,1.526,6.042,-0.2,-5.25,-71.89,False,True
1753173114.9056156,0.08,0.003,0.995,3.174,-0.671,2.136,0.43,-4.99,-71.66,False,True
1753173115.010638,0.091,0.021,0.994,3.845,1.465,0.0,0.83,-4.78,-71.6,False,True
1753173115.1006594,0.091,0.013,0.997,1.343,-0.183,0.183,1.03,-4.77,-71.67,False,True
1753173115.2056825,0.085,0.021,0.994,1.953,-1.038,0.977,1.22,-4.76,-71.59,False,True
1753173115.297703,0.083,0.023,0.997,1.465,0.183,-0.244,1.33,-4.75,-71.6,False,True
1753173115.4007277,0.077,0.018,0.996,0.305,1.16,-0.427,1.4,-4.72,-71.67,False,True
1753173115.5057504,0.107,0.036,1.022,0.244,0.793,-0.488,1.41,-4.63,-71.71,False,True
1753173115.5957713,0.104,0.002,0.984,7.812,-18.127,-0.793,1.56,-5.02,-71.72,False,True
1753173115.7007952,0.101,0.021,0.997,-2.686,0.061,-1.038,1.59,-5.87,-72.17,False,True
1753173115.805819,0.107,0.026,0.996,-1.343,10.254,2.319,1.34,-5.39,-72.09,False,True
1753173115.8958392,0.088,0.02,0.994,-1.465,2.075,-0.183,1.33,-4.93,-71.92,False,True
1753173116.0008633,0.086,0.031,0.995,1.16,-4.028,-0.793,1.42,-4.94,-71.89,False,True
1753173116.1058893,0.091,0.02,0.994,0.732,-0.488,0.549,1.57,-5.09,-71.93,False,True
1753173116.1959107,0.092,0.026,0.995,0.793,1.16,1.648,1.59,-5.14,-71.85,False,True
1753173116.3009336,0.09,0.024,0.994,1.343,0.244,0.244,1.63,-5.11,-71.8,False,True
1753173116.3899553,0.082,0.029,0.991,1.404,-0.61,0.427,1.71,-5.12,-71.76,False,True
1753173116.4959798,0.11,0.038,0.993,1.648,-1.465,0.427,1.84,-5.23,-71.76,False,True
1753173116.600004,0.106,0.035,0.994,1.648,-2.197,1.648,1.9,-5.22,-71.73,False,True
1753173116.6900234,0.091,0.033,0.995,0.916,0.122,0.305,1.93,-5.21,-71.71,False,True
1753173116.7950475,0.085,0.033,0.994,1.038,-0.549,-0.305,1.98,-5.13,-71.74,True,False
1753173116.9002976,0.08,0.025,0.997,0.244,-0.122,0.488,2.03,-5.15,-71.75,True,False
1753173116.9903176,0.094,0.033,0.994,0.732,0.061,-0.427,2.03,-5.15,-71.71,True,False
1753173117.095342,0.088,0.027,0.995,0.671,-0.122,-0.244,2.05,-5.19,-71.74,True,False
1753173117.2003675,0.089,0.039,0.995,0.427,0.366,-0.793,2.08,-5.17,-71.79,True,False
1753173117.290388,0.092,0.028,0.994,0.61,0.183,-0.549,2.14,-5.21,-71.9,True,False
1753173117.395555,0.099,0.038,0.994,0.488,0.671,-0.427,2.15,-5.16,-71.93,True,False
1753173117.4855754,0.083,0.031,0.995,0.183,-0.061,0.183,2.17,-5.16,-71.95,True,False
1753173117.5905995,0.097,0.034,0.995,0.488,0.305,-0.61,2.19,-5.13,-72.0,True,False
1753173117.6956234,0.081,0.036,0.995,-0.305,0.427,0.916,2.18,-5.14,-71.97,True,False
1753173117.7856438,0.095,0.028,0.994,0.671,-0.793,-0.916,2.2,-5.16,-72.02,True,False
1753173117.8906677,0.089,0.04,0.992,-0.122,-0.427,-0.854,2.19,-5.16,-72.04,True,False
1753173117.9960551,0.097,0.036,0.993,1.282,0.305,-0.244,2.29,-5.19,-72.15,True,False
1753173118.0860765,0.091,0.052,0.997,1.099,2.258,-0.977,2.33,-5.07,-72.17,True,False
1753173118.1901007,0.104,0.029,0.993,1.099,-1.282,0.0,2.43,-5.1,-72.31,True,False
1753173118.2951245,0.088,0.05,0.996,1.221,0.305,-0.488,2.42,-5.08,-72.28,True,False
1753173118.385145,0.091,0.039,0.994,-0.854,-0.671,0.671,2.53,-5.05,-72.4,True,False
1753173118.4901686,0.095,0.048,0.996,0.61,-0.671,-0.305,2.49,-5.03,-72.39,True,False
1753173118.5801897,0.092,0.028,1.002,1.282,-1.16,0.854,2.61,-5.06,-72.44,True,False
1753173118.6852129,0.063,0.04,0.999,-0.244,-3.54,-2.014,2.67,-5.2,-72.51,True,False
1753173118.7912374,0.208,0.067,0.951,-0.793,-18.86,3.235,2.71,-6.36,-72.78,True,False
1753173118.8802612,0.084,0.042,0.996,-1.526,10.498,-1.77,2.52,-7.71,-72.46,True,False
1753173118.985313,0.133,0.05,0.993,2.625,6.287,0.854,2.75,-6.38,-72.58,True,False
1753173119.090337,0.125,0.064,0.993,3.784,-1.77,0.977,3.0,-6.24,-72.37,True,False
1753173119.1803575,0.12,0.049,0.992,1.892,-2.014,1.526,3.16,-6.4,-72.32,True,False
1753173119.2861042,0.117,0.058,0.993,0.488,-0.244,1.709,3.16,-6.43,-72.17,True,False
1753173119.3901274,0.113,0.044,0.992,0.916,-0.305,0.488,3.18,-6.46,-72.14,True,False
1753173119.4803104,0.125,0.064,0.993,0.366,-0.244,0.305,3.19,-6.43,-72.11,True,False
1753173119.5853345,0.113,0.042,0.991,1.77,4.883,-1.282,3.28,-6.33,-72.19,True,False
1753173119.675355,0.029,0.048,1.011,-0.122,-0.549,-1.587,3.3,-5.96,-72.29,True,False
1753173119.7803214,0.153,0.056,0.992,3.967,-17.151,-1.587,3.51,-6.38,-72.72,True,False
1753173119.8853445,0.417,0.073,0.869,-3.723,-21.057,17.822,3.44,-8.67,-72.25,True,False
1753173119.9753656,0.095,0.032,0.974,-12.634,-17.7,-2.93,2.13,-11.24,-70.74,True,False
1753173120.0803888,0.225,0.059,0.963,8.118,1.892,8.057,1.91,-11.09,-70.52,True,False
1753173120.1854131,0.154,0.058,0.991,7.263,6.958,3.906,2.86,-10.52,-69.86,True,False
1753173120.275433,0.119,0.083,1.002,5.798,18.005,2.38,3.65,-9.36,-69.24,True,False
1753173120.3804567,0.146,0.062,0.986,2.747,8.484,-2.136,4.13,-8.03,-69.16,True,False
1753173120.4854808,0.13,0.062,0.994,-0.916,4.944,-1.16,4.08,-7.49,-69.21,True,False
1753173120.5755012,0.124,0.074,0.988,1.953,1.892,-0.977,4.15,-7.22,-69.32,True,False
1753173120.6805243,0.127,0.07,0.991,0.244,-0.61,-0.122,4.27,-7.18,-69.4,True,False
1753173120.78655,0.125,0.066,0.992,-0.183,1.282,0.061,4.24,-7.12,-69.37,True,False
1753173120.8755693,0.127,0.075,0.989,0.305,0.183,0.305,4.23,-7.09,-69.34,True,False
1753173120.9805925,0.118,0.062,0.989,0.061,1.16,0.183,4.23,-7.07,-69.34,True,False
1753173121.0726159,0.122,0.076,0.99,0.061,0.122,-0.061,4.17,-6.97,-69.33,True,False
1753173121.1756399,0.123,0.066,0.99,0.427,0.916,0.0,4.21,-6.98,-69.36,True,False
1753173121.2806633,0.116,0.07,0.992,0.366,-1.282,-0.122,4.18,-6.97,-69.36,True,False
1753173121.3706837,0.122,0.067,0.99,0.0,0.793,0.0,4.2,-6.99,-69.37,True,False
1753173121.4757073,0.127,0.069,0.989,0.671,-0.488,-0.549,4.2,-7.0,-69.38,True,False
1753173121.580731,0.122,0.065,0.99,-0.366,0.732,0.122,4.2,-7.0,-69.38,True,False
1753173121.670752,0.121,0.065,0.989,0.61,-0.305,-0.244,4.2,-7.03,-69.39,True,False
1753173121.7755878,0.124,0.064,0.991,0.061,-0.061,0.183,4.21,-7.03,-69.38,True,False
1753173121.8804357,0.129,0.073,0.988,0.061,-0.366,-0.122,4.21,-7.03,-69.38,True,False
1753173121.970456,0.123,0.065,0.99,-0.183,0.183,0.0,4.24,-7.11,-69.38,True,False
1753173122.0754797,0.124,0.07,0.99,0.183,0.122,0.0,4.22,-7.05,-69.38,True,False
1753173122.165515,0.123,0.067,0.989,0.122,0.122,0.122,4.22,-7.06,-69.38,True,False
