Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753171917.814378,0.177,0.158,0.968,-1.282,-1.038,1.099,10.07,-10.95,-126.4,False,True
1753171917.9043977,0.185,0.176,0.967,0.671,0.793,-1.343,10.05,-10.91,-126.43,False,True
1753171918.009422,0.188,0.15,0.969,-1.77,1.221,0.122,10.03,-10.93,-126.47,False,True
1753171918.1144447,0.188,0.173,0.972,-1.099,1.709,-0.793,9.85,-10.89,-126.46,False,True
1753171918.2038255,0.207,0.164,0.968,0.366,0.305,-0.732,9.94,-10.9,-126.58,False,True
1753171918.3091507,0.212,0.173,0.965,-0.61,1.526,0.0,9.94,-10.91,-126.6,False,True
1753171918.4001713,0.208,0.159,0.968,-0.488,0.183,0.793,9.93,-10.91,-126.61,False,True
1753171918.5041935,0.198,0.157,0.967,-0.183,-1.526,1.099,9.85,-10.9,-126.61,False,True
1753171918.6132252,0.176,0.167,0.969,2.075,-2.625,0.0,9.87,-10.87,-126.68,False,True
1753171918.6992426,0.177,0.145,0.969,-0.916,-0.732,0.977,9.94,-10.84,-126.78,False,True
1753171918.8042662,0.168,0.176,0.97,-0.183,1.77,-0.488,9.82,-10.78,-126.73,False,True
1753171918.9092898,0.195,0.155,0.968,-2.136,4.028,1.77,9.82,-10.62,-126.71,False,True
1753171918.9993112,0.188,0.17,0.974,-0.366,0.732,-0.671,9.61,-10.65,-126.66,False,True
1753171919.104334,0.195,0.158,0.97,-0.61,-1.16,-0.244,9.61,-10.72,-126.78,False,True
1753171919.209435,0.185,0.156,0.97,-2.258,-0.122,1.099,9.5,-10.72,-126.77,False,True
1753171919.299455,0.184,0.16,0.967,0.916,-1.831,0.0,9.47,-10.76,-126.8,False,True
1753171919.4046164,0.175,0.146,0.971,-2.136,-0.244,0.549,9.44,-10.8,-126.83,False,True
1753171919.494637,0.176,0.155,0.972,0.427,0.061,-0.671,9.23,-10.68,-126.82,False,True
