Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753172841.0917637,0.177,0.201,1.163,-1.465,12.451,7.202,11.24,-10.65,-53.43,True,False
1753172841.1967876,0.18,0.146,0.995,14.648,5.127,-7.568,11.8,-10.13,-51.36,True,False
1753172841.2868128,0.224,0.248,0.964,-6.348,-7.568,2.197,11.77,-11.16,-50.14,True,False
1753172841.3918364,0.225,0.164,0.958,-7.019,-0.122,1.343,11.99,-11.62,-47.96,True,False
1753172841.4968603,0.1,0.1,0.894,-14.771,4.944,1.526,9.41,-11.32,-46.64,True,False
1753172841.5868807,0.234,0.219,1.054,0.732,10.986,0.671,7.74,-9.33,-44.96,True,False
1753172841.6919038,0.079,0.168,0.981,12.024,7.324,-2.625,9.42,-9.23,-43.74,True,False
1753172841.781925,0.147,0.162,0.985,11.658,10.559,-1.221,10.06,-8.2,-42.72,True,False
1753172841.8869483,0.136,0.169,0.977,0.427,0.549,-0.183,10.22,-7.82,-41.62,True,False
1753172841.9920788,0.17,0.194,0.972,3.784,-0.061,0.366,10.34,-7.72,-40.57,True,False
1753172842.081739,0.13,0.188,0.976,4.089,-8.24,1.77,10.77,-8.18,-39.29,True,False
1753172842.186763,0.153,0.179,0.97,-1.282,-0.244,-0.549,10.76,-8.28,-38.44,True,False
1753172842.291787,0.143,0.172,0.974,-0.366,0.671,-1.221,10.67,-8.29,-37.58,True,False
1753172842.3818073,0.133,0.186,0.977,0.671,-0.061,-0.61,10.63,-8.26,-36.84,True,False
1753172842.486831,0.15,0.17,0.972,0.061,0.061,-0.427,10.66,-8.22,-36.1,True,False
1753172842.5918565,0.147,0.18,0.974,-0.549,-0.732,0.061,10.54,-8.25,-35.34,True,False
1753172842.6828768,0.163,0.17,0.974,-1.526,1.587,-0.366,10.46,-8.29,-34.65,True,False
1753172842.7867408,0.153,0.175,0.973,0.61,0.671,-0.916,10.32,-8.19,-34.0,True,False
1753172842.8767612,0.156,0.177,0.976,0.793,-1.587,-0.061,10.37,-8.2,-33.45,True,False
1753172842.9817848,0.158,0.176,0.973,-0.122,-0.061,0.183,10.38,-8.3,-32.88,True,False
1753172843.086809,0.151,0.171,0.973,-0.366,-0.916,0.916,10.36,-8.33,-32.33,True,False
1753172843.1768358,0.15,0.157,0.98,-1.221,-0.854,1.465,10.27,-8.39,-31.73,True,False
1753172843.2818596,0.228,0.192,0.992,-1.892,1.587,-1.587,10.17,-8.39,-31.2,True,False
1753172843.3868854,0.192,0.16,1.045,-9.033,9.399,2.563,9.68,-8.16,-30.52,True,False
