Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_X,Angle_Y,Angle_Z,Mouse,Keyboard
1753170983.2269094,0.241,0.213,0.948,0.0,-0.183,0.0,12.97,-14.06,-60.48,True,False
1753170983.3309326,0.252,0.221,0.945,0.061,0.427,-0.061,12.97,-14.05,-60.49,True,False
1753170983.421335,0.255,0.218,0.942,-0.305,-0.366,-0.122,12.99,-14.04,-60.49,True,False
1753170983.5265286,0.24,0.213,0.947,0.61,-0.122,0.0,12.98,-14.12,-60.51,True,False
1753170983.6315517,0.247,0.207,0.949,0.122,-0.244,0.0,12.97,-14.07,-60.51,True,False
1753170983.7215724,0.239,0.221,0.947,0.122,1.099,-0.061,12.94,-14.08,-60.48,True,False
1753170983.8265963,0.261,0.219,0.942,0.305,-1.404,1.099,12.95,-14.03,-60.46,True,False
1753170983.9166174,0.243,0.218,0.947,0.793,-3.54,1.404,12.96,-14.32,-60.38,True,False
1753170984.0216398,0.23,0.22,0.949,0.122,-0.916,0.305,13.0,-14.55,-60.38,True,False
1753170984.1260087,0.258,0.226,0.941,0.305,-1.099,-1.282,12.97,-14.6,-60.39,True,False
